station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
TUS,2023-06-01,89.0,60.0,39.0,23.0,0.0,5.12696,,74.5043,TUS
TUS,2023-06-02,91.0,64.0,39.9,24.1,0.0,4.344881,,76.96712,TUS
TUS,2023-06-03,96.0,63.0,37.9,28.0,0.0,5.2138577,,78.994576,TUS
TUS,2023-06-04,101.0,67.0,37.0,28.0,0.0,4.9531646,,81.92997,TUS
TUS,2023-06-05,101.0,70.0,35.1,17.1,0.0,7.820786,0.0,82.80642,TUS
TUS,2023-06-06,98.0,69.0,37.9,19.9,0.0,9.558739,,81.564674,TUS
TUS,2023-06-07,94.0,65.0,39.9,21.0,0.0,5.561448,0.0,78.61459,TUS
TUS,2023-06-08,96.0,67.0,44.1,21.9,0.0,5.995936,0.0,79.181854,TUS
TUS,2023-06-09,93.0,66.0,35.1,12.0,0.0,4.8662667,,77.60758,TUS
TUS,2023-06-10,99.0,63.0,34.0,18.0,0.0,7.4731956,,79.56151,TUS
TUS,2023-06-11,94.0,71.0,41.0,16.0,0.0,10.862203,,79.923386,TUS
TUS,2023-06-12,92.0,61.0,39.9,19.0,0.0,5.995936,0.0,75.91488,TUS
TUS,2023-06-13,93.0,62.0,37.9,21.9,0.0,4.9531646,0.0,76.55676,TUS
TUS,2023-06-14,99.0,64.0,37.9,21.0,0.0,6.430424,0.0,79.91436,TUS
TUS,2023-06-15,99.0,66.0,35.1,14.0,0.0,5.4745502,,81.023834,TUS
TUS,2023-06-16,100.0,70.0,27.0,9.0,0.0,9.037353,0.0,82.63804,TUS
TUS,2023-06-17,102.0,64.0,28.9,12.9,0.0,5.300755,0.0,82.295555,TUS
TUS,2023-06-18,103.0,70.0,30.9,24.1,0.0,7.646991,0.0,84.408066,TUS
TUS,2023-06-19,103.0,76.0,39.0,27.0,0.0,8.602865,,85.94288,TUS
TUS,2023-06-20,102.0,78.0,33.1,25.0,0.0,5.7352433,,85.9613,TUS
TUS,2023-06-21,103.0,70.0,39.9,28.0,0.0,5.995936,0.0,85.06673,TUS
TUS,2023-06-22,104.0,71.0,42.1,18.0,0.0,5.995936,,84.72234,TUS
TUS,2023-06-23,101.0,71.0,32.0,17.1,0.0,5.995936,0.0,83.34712,TUS
TUS,2023-06-24,105.0,67.0,23.0,10.9,0.0,4.6924715,0.0,83.00449,TUS
TUS,2023-06-25,111.0,71.0,36.0,14.0,0.0,5.6483455,0.0,88.4349,TUS
TUS,2023-06-26,111.0,75.0,37.9,30.9,0.0,6.169731,0.0,90.27511,TUS
TUS,2023-06-27,108.0,78.0,46.0,30.9,0.0,7.4731956,0.0,90.34996,TUS
TUS,2023-06-28,107.0,78.0,55.0,34.0,0.0,7.907684,,90.523026,TUS
TUS,2023-06-29,106.0,79.0,55.9,23.0,0.0,6.6042194,,88.25234,TUS
TUS,2023-06-30,105.0,70.0,33.1,19.9,0.0,5.6483455,,84.38976,TUS
TUS,2023-07-01,107.0,71.0,32.0,25.0,0.0,4.8662667,,87.20017,TUS
TUS,2023-07-02,110.0,74.0,41.0,30.9,0.0,6.256629,,89.261826,TUS
TUS,2023-07-03,110.0,78.0,48.0,32.0,0.0,7.212503,,91.21573,TUS
TUS,2023-07-04,108.0,78.0,48.0,35.1,0.0,6.3435264,,89.822334,TUS
TUS,2023-07-05,107.0,77.0,46.9,36.0,0.0,5.6483455,0.0,89.859024,TUS
TUS,2023-07-06,110.0,77.0,43.0,36.0,0.0,5.300755,,91.70735,TUS
TUS,2023-07-07,110.0,82.0,46.9,36.0,0.0,6.169731,,92.46148,TUS
TUS,2023-07-08,108.0,82.0,54.0,39.9,0.0,5.12696,,93.18647,TUS
TUS,2023-07-09,105.0,85.0,60.1,48.0,0.0,4.9531646,,92.076256,TUS
TUS,2023-07-10,107.0,83.0,63.0,55.9,0.0,8.255275,,93.459564,TUS
TUS,2023-07-11,105.0,82.0,63.0,57.9,0.0,7.125605,,94.299065,TUS
TUS,2023-07-12,101.0,85.0,66.9,57.0,0.0,5.995936,,94.49191,TUS
TUS,2023-07-13,107.0,87.0,62.1,56.0,0.0,5.7352433,,96.66368,TUS
TUS,2023-07-14,108.0,85.0,63.0,55.0,0.0,6.3435264,,96.1919,TUS
TUS,2023-07-15,110.0,86.0,63.0,47.0,0.0,8.081479,,96.6668,TUS
TUS,2023-07-16,111.0,82.0,61.0,55.0,0.0,6.3435264,,95.15109,TUS
TUS,2023-07-17,111.0,77.0,66.0,49.0,0.45,6.6042194,,92.988174,TUS
TUS,2023-07-18,112.0,80.0,62.0,47.0,0.0,5.7352433,,95.02607,TUS
TUS,2023-07-19,112.0,82.0,62.0,51.0,0.0001,6.8649125,,93.973976,TUS
TUS,2023-07-20,112.0,78.0,60.0,44.0,0.0,7.4731956,,94.07472,TUS
TUS,2023-07-21,110.0,83.0,61.0,46.0,0.0001,9.558739,0.0,94.0645,TUS
TUS,2023-07-22,111.0,81.0,66.0,49.0,0.0001,8.689762,0.0,94.169,TUS
TUS,2023-07-23,106.0,78.0,67.0,52.0,0.06,6.8649125,0.0,89.83497,TUS
