station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
SFB,2023-06-01,88.0,71.0,71.1,64.9,0.0001,8.689762,0.0,79.434784,SFB
PNS,2023-06-01,88.0,71.0,68.0,61.0,0.03,6.6042194,0.0,78.86698,PNS
SRQ,2023-06-01,88.0,70.0,73.0,68.0,0.12,6.430424,0.0,79.4025,SRQ
RSW,2023-06-01,89.0,69.0,73.9,69.1,0.0,4.2579837,0.0,79.110016,RSW
PNS,2023-06-02,92.0,71.0,66.0,61.0,0.0,5.12696,0.0,80.70428,PNS
SRQ,2023-06-02,88.0,71.0,73.0,66.9,0.38,7.212503,0.0,76.883194,SRQ
RSW,2023-06-02,89.0,70.0,73.0,69.1,0.99,6.256629,0.0,76.77773,RSW
SFB,2023-06-02,86.0,72.0,72.0,66.9,0.0001,7.907684,0.0,79.23023,SFB
SRQ,2023-06-03,88.0,71.0,71.1,66.9,0.0,6.95181,0.0,80.15183,SRQ
PNS,2023-06-03,91.0,71.0,69.1,59.0,0.01,6.169731,0.0,81.27303,PNS
RSW,2023-06-03,88.0,70.0,73.0,68.0,0.11,5.7352433,0.0,76.971466,RSW
SFB,2023-06-03,87.0,71.0,72.0,68.0,0.0001,5.995936,0.0,76.87559,SFB
SFB,2023-06-04,87.0,71.0,72.0,66.9,0.0,9.732533,0.0,78.60933,SFB
SRQ,2023-06-04,90.0,70.0,72.0,64.4,0.0,7.386298,0.0,79.77676,SRQ
RSW,2023-06-04,92.0,70.0,73.0,64.9,0.67,6.6042194,0.0,79.81705,RSW
PNS,2023-06-04,89.0,71.0,73.0,62.1,0.18,5.387653,0.0,79.991005,PNS
PNS,2023-06-05,83.0,71.0,70.0,66.0,0.0,6.6911173,0.0,77.30381,PNS
SFB,2023-06-05,86.0,71.0,71.1,64.9,0.0,8.602865,0.0,78.29138,SFB
RSW,2023-06-05,90.0,70.0,72.0,64.9,0.03,6.7780147,0.0,79.754974,RSW
SRQ,2023-06-05,90.0,71.0,70.0,62.1,0.03,7.646991,0.0,80.56816,SRQ
SRQ,2023-06-06,91.0,70.0,68.0,57.0,0.0,6.7780147,0.0,79.63109,SRQ
PNS,2023-06-06,85.0,70.0,69.1,66.0,0.0,5.12696,0.0,78.30899,PNS
SFB,2023-06-06,89.0,67.0,69.1,63.0,0.0,5.300755,0.0,78.35631,SFB
RSW,2023-06-06,88.0,70.0,73.0,64.9,0.34,6.430424,0.0,78.02518,RSW
SRQ,2023-06-07,86.0,73.0,73.0,68.0,0.0001,6.95181,0.0,83.03493,SRQ
