station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
SAV,2023-06-01,84.0,67.0,64.0,55.0,0.0,6.430424,0.0,73.76819,SAV
SAV,2023-06-02,84.0,65.0,64.9,57.9,0.0,5.8221407,0.0,74.52328,SAV
SAV,2023-06-03,85.0,66.0,68.0,62.1,0.0001,7.0387077,0.0,75.22117,SAV
SAV,2023-06-04,78.0,65.0,66.9,59.0,0.0,8.081479,0.0,71.53036,SAV
SAV,2023-06-05,83.0,60.0,59.0,53.1,0.0,5.300755,0.0,71.29094,SAV
SAV,2023-06-06,90.0,64.0,66.9,55.9,0.0,7.0387077,0.0,77.04335,SAV
SAV,2023-06-07,92.0,69.0,66.0,57.0,0.72,7.386298,0.0,79.49842,SAV
SAV,2023-06-08,88.0,70.0,71.1,64.0,0.12,6.5173216,0.0,77.372025,SAV
SAV,2023-06-09,84.0,69.0,69.1,62.1,0.0,5.300755,0.0,76.65795,SAV
SAV,2023-06-10,86.0,63.0,66.9,54.0,0.0,5.12696,0.0,75.86995,SAV
SAV,2023-06-11,89.0,67.0,72.0,63.0,1.7,6.5173216,0.0,79.413025,SAV
SAV,2023-06-12,91.0,71.0,70.0,66.0,0.03,7.5600934,0.0,78.629654,SAV
SAV,2023-06-13,89.0,69.0,70.0,64.0,0.24,7.4731956,0.0,78.5592,SAV
SAV,2023-06-14,79.0,68.0,70.0,64.0,1.08,7.212503,0.0,72.134895,SAV
SAV,2023-06-15,77.0,67.0,64.9,61.0,0.16,6.95181,0.0,70.207886,SAV
SAV,2023-06-16,87.0,69.0,70.0,64.9,0.03,7.994581,0.0,78.77483,SAV
SAV,2023-06-17,93.0,73.0,70.0,61.0,0.0,5.995936,0.0,81.65532,SAV
SAV,2023-06-18,92.0,70.0,72.0,64.0,0.0001,4.6924715,0.0,82.39676,SAV
SAV,2023-06-19,86.0,73.0,73.9,66.0,0.16,6.256629,0.0,78.67126,SAV
SAV,2023-06-20,83.0,71.0,71.6,66.0,1.62,7.646991,0.0,76.91816,SAV
SAV,2023-06-21,85.0,68.0,73.9,64.0,0.44,4.2579837,0.0,76.26586,SAV
SAV,2023-06-22,86.0,70.0,70.0,64.0,0.17,9.993227,0.0,76.979546,SAV
SAV,2023-06-23,89.0,72.0,72.0,66.9,0.35,6.5173216,0.0,79.235634,SAV
SAV,2023-06-24,89.0,72.0,71.6,61.0,0.0,6.6911173,0.0,80.37738,SAV
SAV,2023-06-25,94.0,72.0,70.0,59.0,0.0001,6.7780147,0.0,83.022285,SAV
SAV,2023-06-26,94.0,72.0,73.9,66.0,0.03,6.6042194,0.0,85.11072,SAV
SAV,2023-06-27,95.0,75.0,73.0,61.0,0.0,7.820786,0.0,87.36116,SAV
