station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
SDF,2023-06-01,90.0,68.0,64.0,57.0,0.0,3.3890073,0.0,79.48043,SDF
SDF,2023-06-02,91.0,69.0,62.1,46.0,0.0,3.7365978,0.0,79.51925,SDF
SDF,2023-06-03,93.0,66.0,62.1,51.1,0.0,5.0400624,0.0,80.0883,SDF
SDF,2023-06-04,90.0,69.0,63.0,53.1,0.0,5.995936,0.0,79.28992,SDF
SDF,2023-06-05,87.0,63.0,61.0,51.1,0.0,5.995936,0.0,75.09547,SDF
SDF,2023-06-06,87.0,62.0,55.9,45.0,0.0,5.2138577,0.0,74.65425,SDF
SDF,2023-06-07,77.0,65.0,63.0,55.0,1.11,3.6497002,0.0,69.6319,SDF
SDF,2023-06-08,80.0,57.0,60.1,39.9,0.0,3.7365978,0.0,69.12841,SDF
SDF,2023-06-09,81.0,57.0,51.1,41.0,0.0,3.475905,0.0,69.97602,SDF
SDF,2023-06-10,83.0,57.0,54.3,45.0,0.0,3.7365978,0.0,71.977036,SDF
SDF,2023-06-11,84.0,64.0,68.0,54.1,0.21,8.4290695,0.0,73.62614,SDF
SDF,2023-06-12,72.0,59.0,60.1,45.0,0.0001,8.689762,0.0,64.16463,SDF
SDF,2023-06-13,81.0,55.0,50.0,46.0,0.0,11.209793,0.0,69.33631,SDF
SDF,2023-06-14,85.0,65.0,57.9,48.9,0.0,8.958914,0.0,74.767456,SDF
SDF,2023-06-15,86.0,67.0,61.0,57.0,0.0,2.8676217,0.0,77.36256,SDF
SDF,2023-06-16,79.0,64.0,60.1,52.0,0.0,7.820786,0.0,73.09638,SDF
SDF,2023-06-17,83.0,62.0,57.9,51.1,0.0,3.215212,0.0,72.991325,SDF
SDF,2023-06-18,85.0,61.0,63.0,52.0,0.0001,5.387653,0.0,74.90403,SDF
SDF,2023-06-19,79.0,69.0,70.0,61.0,1.0,6.430424,0.0,71.98607,SDF
SDF,2023-06-20,86.0,71.0,68.0,64.0,0.01,9.384943,0.0,76.61449,SDF
