station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
STL,2023-06-01,92.0,71.0,68.0,57.9,0.08,3.5628026,0.0,80.932785,STL
MCI,2023-06-01,85.0,65.0,69.1,64.0,0.0001,6.6911173,0.0,75.643234,MCI
STL,2023-06-02,93.0,71.0,64.0,52.0,0.0,4.344881,0.0,81.21133,STL
MCI,2023-06-02,87.0,65.0,69.1,63.0,1.0,6.430424,0.0,75.903694,MCI
MCI,2023-06-03,88.0,66.0,66.9,54.0,0.0,7.646991,0.0,76.46257,MCI
STL,2023-06-03,94.0,65.0,57.9,46.9,0.0,3.3890073,0.0,80.31387,STL
MCI,2023-06-04,89.0,63.0,63.0,55.0,0.0,6.5173216,0.0,75.28291,MCI
STL,2023-06-04,93.0,69.0,71.1,52.0,0.1,4.2579837,0.0,80.20774,STL
MCI,2023-06-05,88.0,65.0,64.9,61.0,0.0,5.995936,0.0,76.15407,MCI
STL,2023-06-05,87.0,62.0,48.9,42.1,0.0,4.171086,0.0,74.07397,STL
MCI,2023-06-06,88.0,62.0,64.0,59.0,0.0,2.1724405,0.0,76.80003,MCI
STL,2023-06-06,90.0,59.0,55.9,46.0,0.0,2.8676217,0.0,75.35712,STL
MCI,2023-06-07,91.0,66.0,68.0,57.0,0.0,4.6924715,0.0,78.53475,MCI
STL,2023-06-07,79.0,65.0,64.9,53.1,0.2,3.7365978,0.0,73.465225,STL
MCI,2023-06-08,77.0,67.0,64.9,55.9,0.04,9.558739,0.0,72.55108,MCI
STL,2023-06-08,81.0,59.0,55.0,35.1,0.0,3.9972906,0.0,70.03232,STL
MCI,2023-06-09,82.0,64.0,55.9,48.9,0.0,7.4731956,0.0,72.88415,MCI
STL,2023-06-09,84.0,58.0,46.0,37.9,0.0,3.7365978,0.0,70.871124,STL
MCI,2023-06-10,71.0,65.0,66.9,50.0,0.36,4.344881,0.0,67.80948,MCI
STL,2023-06-10,88.0,62.0,64.0,46.0,0.09,7.125605,0.0,75.812515,STL
MCI,2023-06-11,74.0,56.0,66.0,55.0,0.38,7.386298,0.0,65.611984,MCI
STL,2023-06-11,71.0,62.0,66.2,54.0,1.02,8.342172,0.0,68.05763,STL
STL,2023-06-12,74.0,58.0,53.1,42.1,0.0,6.430424,0.0,65.41958,STL
MCI,2023-06-12,74.0,51.0,57.9,45.0,0.0,3.1283145,0.0,64.39491,MCI
STL,2023-06-13,84.0,60.0,50.0,44.1,0.0,11.470487,0.0,71.84324,STL
MCI,2023-06-13,80.0,50.0,55.0,48.0,0.0,5.2111497,0.0,66.87735,MCI
MCI,2023-06-14,85.0,56.0,62.1,48.9,0.0,4.605574,0.0,72.31046,MCI
STL,2023-06-14,90.0,64.0,57.9,48.0,0.0,6.3435264,0.0,77.04945,STL
STL,2023-06-15,92.0,66.0,59.0,53.1,0.0,5.2138577,0.0,79.58308,STL
MCI,2023-06-15,86.0,58.0,63.0,55.0,0.0,3.6497002,0.0,74.186264,MCI
MCI,2023-06-16,88.0,62.0,64.0,57.0,0.0,3.5628026,0.0,78.44569,MCI
STL,2023-06-16,83.0,63.0,60.1,53.1,0.0,5.7352433,0.0,73.39592,STL
STL,2023-06-17,85.0,63.0,57.0,55.0,0.0,5.12696,0.0,74.93875,STL
MCI,2023-06-17,87.0,67.0,68.0,62.1,0.0,5.561448,0.0,78.05206,MCI
STL,2023-06-18,81.0,67.0,69.1,55.9,1.53,8.168377,0.0,73.67839,STL
MCI,2023-06-18,81.0,61.0,66.0,60.1,1.38,4.605574,0.0,71.221275,MCI
MCI,2023-06-19,89.0,64.0,66.9,63.0,0.0,4.344881,0.0,78.285904,MCI
STL,2023-06-19,87.0,67.0,66.0,59.0,0.0,6.082834,0.0,77.13863,STL
MCI,2023-06-20,87.0,69.0,64.9,61.0,0.0,8.515967,0.0,79.64085,MCI
STL,2023-06-20,90.0,67.0,64.9,57.0,0.0,6.6911173,0.0,80.59566,STL
MCI,2023-06-21,88.0,70.0,66.9,61.0,0.0,7.2994003,0.0,80.13714,MCI
STL,2023-06-21,88.0,70.0,66.0,57.9,0.0,8.689762,0.0,79.47173,STL
STL,2023-06-22,89.0,67.0,63.0,57.9,0.0001,4.5186763,0.0,79.430916,STL
MCI,2023-06-22,87.0,68.0,66.9,55.9,0.0,5.9090385,0.0,78.41526,MCI
MCI,2023-06-23,89.0,65.0,68.0,57.0,0.0,4.9531646,0.0,79.76164,MCI
STL,2023-06-23,91.0,68.0,66.0,55.9,0.0,4.171086,0.0,80.41026,STL
STL,2023-06-24,97.0,74.0,66.9,55.9,0.0,6.8649125,0.0,87.438866,STL
MCI,2023-06-24,91.0,73.0,73.9,64.9,0.0,9.471841,0.0,85.096756,MCI
STL,2023-06-25,96.0,76.0,73.0,48.0,0.0,12.513258,0.0,87.91635,STL
MCI,2023-06-25,86.0,67.0,64.9,53.1,0.0,9.037353,0.0,76.21084,MCI
STL,2023-06-26,88.0,72.0,61.0,55.9,0.0,10.9491005,0.0,78.62636,STL
MCI,2023-06-26,85.0,63.0,60.1,54.0,0.0,7.5600934,0.0,74.137276,MCI
STL,2023-06-27,89.0,67.0,62.1,57.9,0.0,5.6483455,0.0,78.146706,STL
MCI,2023-06-27,86.0,59.0,62.1,57.0,0.0001,5.4745502,0.0,74.62509,MCI
MCI,2023-06-28,95.0,71.0,75.0,59.0,0.0,8.950456,0.0,87.39391,MCI
STL,2023-06-28,93.0,70.0,66.9,61.0,0.0001,10.340817,0.0,82.68089,STL
STL,2023-06-29,95.0,77.0,73.9,64.0,0.0,8.4290695,0.0,88.117516,STL
MCI,2023-06-29,93.0,71.0,75.9,64.9,0.0001,8.515967,0.0,87.48213,MCI
MCI,2023-06-30,96.0,70.0,73.9,62.6,0.21,7.907684,0.0,84.752754,MCI
STL,2023-06-30,96.0,73.0,75.9,64.0,0.07,4.9531646,0.0,88.103745,STL
STL,2023-07-01,95.0,70.0,73.0,66.0,1.65,6.5173216,0.0,80.01957,STL
MCI,2023-07-01,85.0,65.0,72.0,64.9,0.2,6.3435264,0.0,73.39632,MCI
MCI,2023-07-02,86.0,64.0,70.0,61.0,0.0,5.4745502,0.0,75.66625,MCI
STL,2023-07-02,87.0,67.0,71.1,63.0,0.03,8.342172,0.0,76.54664,STL
STL,2023-07-03,91.0,69.0,69.1,62.1,0.0,4.344881,0.0,82.2496,STL
MCI,2023-07-03,90.0,64.0,66.0,57.9,0.0,4.2579837,0.0,78.29636,MCI
STL,2023-07-04,96.0,73.0,70.0,64.9,0.0,7.4731956,0.0,86.87336,STL
MCI,2023-07-04,95.0,64.0,69.1,61.0,0.42,7.125605,0.0,83.80574,MCI
MCI,2023-07-05,81.0,66.0,70.0,64.9,0.72,5.561448,0.0,71.957985,MCI
STL,2023-07-05,94.0,76.0,71.1,64.9,0.0,5.995936,0.0,86.79901,STL
