station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
BUF,2023-06-01,90.0,60.0,55.0,48.9,0.0,4.5186763,0.0,75.47256,BUF
BUF,2023-06-02,91.0,61.0,59.0,51.1,0.0,4.9531646,0.0,76.55403,BUF
BUF,2023-06-03,73.0,55.0,59.0,37.9,0.0,13.729825,0.0,67.197975,BUF
BUF,2023-06-04,71.0,50.0,39.9,28.0,0.0,7.820786,0.0,61.221756,BUF
BUF,2023-06-05,69.0,49.0,46.9,36.0,0.0,7.125605,0.0,59.15649,BUF
BUF,2023-06-06,72.0,56.0,54.0,37.0,0.0,7.994581,0.0,64.35983,BUF
BUF,2023-06-07,70.0,49.0,46.0,30.0,0.0,7.4731956,0.0,60.40237,BUF
BUF,2023-06-08,66.0,55.0,48.0,43.0,0.0001,4.0841885,0.0,59.414646,BUF
BUF,2023-06-09,66.0,52.0,55.0,48.0,0.0001,7.0387077,0.0,58.661507,BUF
BUF,2023-06-10,73.0,55.0,55.0,44.1,0.0,9.211148,0.0,64.60411,BUF
BUF,2023-06-11,79.0,59.0,57.0,46.9,0.1,7.386298,0.0,67.82385,BUF
BUF,2023-06-12,69.0,57.0,64.9,51.1,0.45,10.427715,0.0,61.90286,BUF
BUF,2023-06-13,68.0,52.0,54.0,42.1,0.02,8.168377,0.0,59.3781,BUF
BUF,2023-06-14,67.0,53.0,55.9,50.0,0.09,7.994581,0.0,58.82329,BUF
BUF,2023-06-15,70.0,54.0,57.0,48.9,0.0,7.7338886,0.0,61.822662,BUF
BUF,2023-06-16,71.0,59.0,59.0,55.9,0.09,4.8662667,0.0,62.98187,BUF
BUF,2023-06-17,77.0,56.0,57.0,45.0,0.0,7.125605,0.0,64.48954,BUF
BUF,2023-06-18,76.0,52.0,55.0,50.0,0.0,4.605574,0.0,66.02929,BUF
BUF,2023-06-19,84.0,57.0,57.9,48.0,0.0,8.77666,0.0,70.82075,BUF
BUF,2023-06-20,84.0,66.0,62.1,51.1,0.0,9.037353,0.0,74.419846,BUF
BUF,2023-06-21,86.0,62.0,60.1,50.0,0.0,7.7338886,0.0,73.58504,BUF
BUF,2023-06-22,81.0,63.0,60.1,46.9,0.0001,6.95181,0.0,70.65272,BUF
BUF,2023-06-23,75.0,68.0,64.9,54.0,0.83,3.9972906,0.0,70.29044,BUF
BUF,2023-06-24,75.0,66.0,66.0,60.1,0.18,5.8221407,0.0,69.256065,BUF
BUF,2023-06-25,85.0,66.0,68.0,62.1,0.02,6.256629,0.0,74.34453,BUF
BUF,2023-06-26,78.0,64.0,66.9,60.1,0.24,8.081479,0.0,70.82475,BUF
BUF,2023-06-27,71.0,64.0,64.9,60.1,0.39,8.950456,0.0,67.52796,BUF
BUF,2023-06-28,72.0,60.0,60.1,53.1,0.0001,7.994581,0.0,64.28675,BUF
BUF,2023-06-29,81.0,53.0,60.1,48.0,0.0,3.6497002,0.0,68.33472,BUF
BUF,2023-06-30,85.0,63.0,68.0,55.9,0.01,3.8234954,0.0,72.84323,BUF
BUF,2023-07-01,83.0,68.0,70.0,63.0,0.0001,7.386298,0.0,76.7388,BUF
BUF,2023-07-02,77.0,69.0,70.0,64.9,0.76,4.344881,0.0,72.23863,BUF
BUF,2023-07-03,78.0,68.0,69.8,66.0,0.49,4.0841885,0.0,71.36813,BUF
