station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
OKC,2023-06-01,86.0,66.0,68.0,62.1,0.0001,7.5600934,0.0,75.465935,OKC
OKC,2023-06-02,87.0,65.0,66.0,60.1,0.0001,9.993227,0.0,76.444984,OKC
OKC,2023-06-03,80.0,63.0,66.9,61.0,0.36,5.387653,0.0,70.18502,OKC
OKC,2023-06-04,78.0,64.0,64.9,62.1,0.0001,5.6483455,0.0,70.74146,OKC
OKC,2023-06-05,85.0,64.0,64.9,60.1,0.02,4.431779,0.0,74.0252,OKC
OKC,2023-06-06,87.0,64.0,64.9,59.0,0.02,4.2579837,0.0,74.29203,OKC
OKC,2023-06-07,88.0,63.0,66.0,54.0,0.33,3.1283145,0.0,75.15121,OKC
OKC,2023-06-08,88.0,64.0,66.0,57.9,0.0,4.5186763,0.0,76.628914,OKC
OKC,2023-06-09,91.0,65.0,68.0,63.0,0.0,4.431779,0.0,80.78001,OKC
OKC,2023-06-10,86.0,63.0,68.0,61.0,0.69,7.2994003,0.0,75.680374,OKC
OKC,2023-06-11,86.0,67.0,69.1,61.0,0.0,9.12425,0.0,76.91112,OKC
OKC,2023-06-12,67.0,61.0,62.1,59.0,0.47,5.995936,0.0,63.535053,OKC
OKC,2023-06-13,80.0,61.0,69.1,57.9,0.0001,4.2480564,0.0,70.61854,OKC
OKC,2023-06-14,85.0,65.0,68.0,57.0,0.0,4.6924715,0.0,75.504166,OKC
OKC,2023-06-15,88.0,65.0,68.0,51.1,0.14,8.342172,0.0,76.50419,OKC
OKC,2023-06-16,86.0,65.0,64.0,59.0,0.0,5.7352433,0.0,74.58421,OKC
OKC,2023-06-17,87.0,63.0,70.0,59.0,0.04,9.906329,0.0,78.38352,OKC
OKC,2023-06-18,84.0,61.0,64.9,57.9,0.01,5.9090385,0.0,72.13797,OKC
OKC,2023-06-19,90.0,62.0,69.1,62.1,0.0,9.298046,0.0,80.07446,OKC
OKC,2023-06-20,93.0,74.0,78.1,69.1,0.0,11.383589,0.0,90.562485,OKC
OKC,2023-06-21,86.0,73.0,75.0,64.0,0.0,10.427715,0.0,81.65794,OKC
OKC,2023-06-22,89.0,67.0,69.1,60.1,0.53,6.169731,0.0,79.62032,OKC
OKC,2023-06-23,82.0,66.0,72.0,60.1,0.64,7.386298,0.0,74.8434,OKC
OKC,2023-06-24,93.0,68.0,75.0,68.0,0.0,8.255275,0.0,85.24439,OKC
OKC,2023-06-25,91.0,73.0,75.9,63.0,0.0,8.168377,0.0,87.97551,OKC
OKC,2023-06-26,90.0,75.0,62.1,54.0,0.0,8.950456,0.0,81.52901,OKC
OKC,2023-06-27,90.0,70.0,77.0,59.0,0.0001,11.383589,0.0,85.67909,OKC
OKC,2023-06-28,98.0,75.0,75.0,69.1,0.0,11.904975,0.0,90.95199,OKC
OKC,2023-06-29,98.0,70.0,73.0,66.9,0.0,9.645637,0.0,89.75823,OKC
OKC,2023-06-30,94.0,73.0,71.1,63.0,0.0,8.168377,0.0,85.163795,OKC
OKC,2023-07-01,91.0,70.0,70.0,59.0,0.0001,6.95181,0.0,80.30389,OKC
OKC,2023-07-02,92.0,70.0,66.9,61.0,0.0,4.8662667,0.0,80.27554,OKC
OKC,2023-07-03,97.0,70.0,72.0,19.0,0.85,8.863558,0.0,78.2933,OKC
OKC,2023-07-04,94.0,69.0,73.9,66.0,0.0,8.4290695,0.0,84.759384,OKC
OKC,2023-07-05,87.0,73.0,73.9,63.0,0.0001,9.732533,0.0,79.57928,OKC
OKC,2023-07-06,85.0,69.0,70.0,64.9,1.71,9.037353,0.0,76.800186,OKC
OKC,2023-07-07,82.0,66.0,72.0,64.9,0.97,9.037353,0.0,73.78104,OKC
OKC,2023-07-08,88.0,68.0,71.1,66.0,0.06,5.8221407,0.0,78.73933,OKC
OKC,2023-07-09,82.0,66.0,71.1,64.9,3.23,8.689762,0.0,74.11301,OKC
OKC,2023-07-10,88.0,65.0,73.9,64.0,0.0,4.7793694,0.0,80.077896,OKC
OKC,2023-07-11,91.0,67.0,75.9,66.0,1.59,7.5600934,0.0,82.176186,OKC
OKC,2023-07-12,94.0,74.0,78.1,73.0,0.0001,9.993227,0.0,91.142365,OKC
OKC,2023-07-13,97.0,76.0,81.0,72.0,0.16,7.4731956,0.0,94.59237,OKC
OKC,2023-07-14,93.0,77.0,80.0,69.0,0.0001,8.342172,0.0,89.198685,OKC
OKC,2023-07-15,88.0,72.0,73.0,67.0,0.01,7.820786,0.0,78.985435,OKC
OKC,2023-07-16,92.0,69.0,74.0,67.0,0.0,5.2138577,0.0,81.98311,OKC
OKC,2023-07-17,94.0,70.0,78.0,69.0,0.0,7.994581,0.0,88.97576,OKC
OKC,2023-07-18,99.0,75.0,76.0,62.0,0.0,10.688408,0.0,89.78988,OKC
OKC,2023-07-19,98.0,78.0,75.0,61.0,0.0,9.645637,0.0,91.25312,OKC
OKC,2023-07-20,94.0,74.0,73.0,65.0,0.0,6.7780147,0.0,87.76427,OKC
OKC,2023-07-21,86.0,71.0,73.0,65.0,0.0,9.732533,0.0,79.27636,OKC
OKC,2023-07-22,88.0,67.0,65.0,59.0,0.0,4.344881,0.0,77.430885,OKC
OKC,2023-07-23,92.0,64.0,68.0,62.0,0.0,6.6911173,0.0,79.2379,OKC
OKC,2023-07-24,96.0,67.0,70.0,64.0,0.0,9.993227,0.0,84.77917,OKC
OKC,2023-07-25,100.0,71.0,67.0,58.0,0.0,10.427715,0.0,86.850174,OKC
OKC,2023-07-26,98.0,76.0,68.0,61.0,0.0,9.993227,0.0,87.29344,OKC
OKC,2023-07-27,97.0,69.0,69.0,61.0,0.0,9.819431,0.0,86.019264,OKC
OKC,2023-07-28,98.0,75.0,67.0,62.0,0.0,9.993227,0.0,87.80777,OKC
OKC,2023-07-29,98.0,71.0,68.0,61.0,0.0,7.212503,0.0,86.242645,OKC
OKC,2023-07-30,98.0,70.0,69.0,62.0,0.0,6.082834,0.0,85.40661,OKC
OKC,2023-07-31,100.0,70.0,72.0,63.0,0.0,8.602865,0.0,88.30167,OKC
