station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
MYR,2023-06-01,78.1,64.9,70.0,61.0,0.01,4.707521,,70.86769,MYR
MYR,2023-06-02,77.0,64.9,72.0,66.0,0.12,4.329387,,71.27479,MYR
MYR,2023-06-03,78.1,66.2,71.1,66.2,,5.3043175,,71.977715,MYR
MYR,2023-06-04,72.0,64.0,69.1,57.9,,8.424791,,67.10926,MYR
MYR,2023-06-05,73.9,57.9,61.0,48.0,,6.2186627,,67.131195,MYR
MYR,2023-06-06,80.1,63.0,70.0,61.0,,7.560585,,72.179665,MYR
MYR,2023-06-07,87.1,66.0,73.4,57.0,0.02,6.670613,,75.07614,MYR
MYR,2023-06-08,79.0,64.9,66.9,61.0,0.1,3.4303622,,71.32103,MYR
MYR,2023-06-09,81.0,60.1,66.0,50.0,,3.4317548,,71.377,MYR
MYR,2023-06-10,82.0,60.1,70.0,53.1,,5.496518,,73.15144,MYR
MYR,2023-06-11,82.0,68.0,75.9,68.0,0.3,5.979805,,76.02694,MYR
MYR,2023-06-12,84.9,71.1,75.9,69.8,0.46,10.3850975,,78.613396,MYR
MYR,2023-06-13,88.0,71.1,73.9,60.1,,8.771587,,79.797844,MYR
MYR,2023-06-14,87.1,70.0,70.0,64.0,0.03,10.109331,,77.02632,MYR
MYR,2023-06-15,84.9,66.9,73.9,66.0,,7.4038997,,75.86542,MYR
MYR,2023-06-16,89.1,68.0,75.0,66.9,,7.37883,,78.93625,MYR
MYR,2023-06-17,80.1,72.0,71.1,55.0,,7.334262,,76.29081,MYR
MYR,2023-06-18,82.0,69.1,75.9,70.0,,4.975627,,78.49885,MYR
MYR,2023-06-19,84.0,69.8,77.0,69.8,0.44,7.1552925,,80.78598,MYR
MYR,2023-06-20,80.6,71.6,75.9,71.1,0.4,5.727716,,76.286575,MYR
MYR,2023-06-21,81.0,70.0,78.8,71.1,0.03,6.310585,,78.007286,MYR
MYR,2023-06-22,82.9,72.0,79.0,70.0,0.75,11.1539,,79.05227,MYR
MYR,2023-06-23,82.9,73.0,78.8,71.6,0.1,9.875348,,79.39338,MYR
MYR,2023-06-24,88.0,73.9,78.1,66.0,,6.678273,,82.57026,MYR
MYR,2023-06-25,87.1,72.0,75.9,68.0,,7.4749303,,83.64964,MYR
MYR,2023-06-26,87.1,77.0,77.0,71.1,,11.084262,,86.21272,MYR
MYR,2023-06-27,91.9,69.8,75.9,64.0,0.23,8.977019,,85.31255,MYR
MYR,2023-06-28,86.0,72.0,75.9,66.9,,3.9408078,,82.09581,MYR
MYR,2023-06-29,87.1,72.0,75.9,69.1,,3.7054317,,82.94777,MYR
MYR,2023-06-30,87.1,71.6,75.9,70.0,,5.0954037,,84.186295,MYR
MYR,2023-07-01,86.0,75.0,77.0,72.0,,5.917827,,85.73055,MYR
MYR,2023-07-02,90.0,75.9,79.0,73.0,,7.461699,,90.59176,MYR
MYR,2023-07-03,88.0,78.1,81.0,73.4,0.04,9.190111,,92.43789,MYR
MYR,2023-07-04,91.0,77.0,82.9,72.0,0.0001,7.9728413,,96.11141,MYR
MYR,2023-07-05,89.1,73.9,82.0,72.0,0.69,4.086351,,83.939674,MYR
MYR,2023-07-06,89.1,77.0,81.0,75.0,0.0001,6.8537602,,88.58064,MYR
MYR,2023-07-07,90.0,75.0,81.0,73.9,0.03,6.6128135,,91.25148,MYR
MYR,2023-07-08,87.1,75.0,79.0,73.9,,4.2381616,,86.12653,MYR
MYR,2023-07-09,93.0,75.0,82.0,73.0,0.0001,6.730501,,88.03313,MYR
MYR,2023-07-10,80.1,73.0,77.0,72.0,0.25,3.7395544,,75.63879,MYR
MYR,2023-07-11,88.0,71.1,78.1,70.0,,6.132312,,84.01209,MYR
MYR,2023-07-12,87.1,75.0,77.0,72.0,,6.086351,,86.353775,MYR
MYR,2023-07-13,88.0,79.0,81.0,77.0,,9.632312,,95.70314,MYR
MYR,2023-07-14,88.0,81.0,82.4,79.0,,10.035516,,97.86106,MYR
MYR,2023-07-15,89.0,79.0,82.4,77.0,0.0001,8.584958,,94.60271,MYR
MYR,2023-07-16,92.0,80.0,82.0,76.0,,8.389276,,96.65177,MYR
MYR,2023-07-17,91.0,77.0,82.4,70.0,,3.864206,,90.82092,MYR
MYR,2023-07-18,90.0,76.0,80.0,74.0,,5.8133707,,91.29353,MYR
MYR,2023-07-19,91.0,81.0,83.0,74.0,,9.506964,,98.626335,MYR
MYR,2023-07-20,94.0,75.0,83.0,71.0,0.08,7.832173,,90.931435,MYR
MYR,2023-07-21,94.0,75.0,78.0,71.0,0.01,9.57312,,89.943146,MYR
