station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
RIC,2023-06-01,78.0,59.0,66.0,55.9,0.0001,6.6042194,0.0,68.85446,RIC
RIC,2023-06-02,87.0,57.0,62.1,48.0,0.0,3.8234954,0.0,72.441605,RIC
RIC,2023-06-03,85.0,59.0,64.0,55.9,0.0001,7.125605,0.0,71.68976,RIC
RIC,2023-06-04,71.0,56.0,55.0,50.0,0.0,5.387653,0.0,63.16318,RIC
RIC,2023-06-05,79.0,51.0,57.0,46.0,0.0,4.171086,0.0,65.92468,RIC
RIC,2023-06-06,82.0,56.0,57.0,46.0,0.0,5.6483455,0.0,70.68362,RIC
RIC,2023-06-07,77.0,61.0,60.1,48.0,0.0001,5.0400624,0.0,69.2516,RIC
RIC,2023-06-08,76.0,57.0,59.0,46.9,0.03,4.0841885,0.0,64.55976,RIC
RIC,2023-06-09,79.0,57.0,55.9,45.0,0.03,4.0841885,0.0,68.20042,RIC
RIC,2023-06-10,85.0,54.0,55.9,44.1,0.0,3.8234954,0.0,70.4808,RIC
RIC,2023-06-11,89.0,61.0,60.1,52.0,0.0,8.4290695,0.0,75.31016,RIC
RIC,2023-06-12,83.0,68.0,69.1,61.0,0.02,8.863558,0.0,75.23498,RIC
RIC,2023-06-13,82.0,57.0,62.1,50.0,0.0,5.4745502,0.0,70.968895,RIC
RIC,2023-06-14,84.0,57.0,55.9,50.0,0.0,8.342172,0.0,72.428215,RIC
RIC,2023-06-15,86.0,61.0,60.1,51.1,0.0001,3.475905,0.0,73.885284,RIC
RIC,2023-06-16,85.0,63.0,68.0,59.0,0.08,4.5186763,0.0,71.30338,RIC
RIC,2023-06-17,85.0,61.0,57.0,52.0,0.0,5.561448,0.0,72.61206,RIC
RIC,2023-06-18,87.0,60.0,57.9,48.9,0.0,2.8676217,0.0,73.36215,RIC
RIC,2023-06-19,90.0,63.0,69.1,57.9,0.0,6.430424,0.0,77.69442,RIC
