Hub,Model,Features,AUC,F1,Recall,N
Large,XGBoost,Baseline+Centrality,0.735028,0.56404,0.667299,554657
Large,XGBoost,B+C+ANSP_2hr,0.751265,0.578911,0.666578,554657
Large,XGBoost,B+C+Init_2hr,0.742887,0.570586,0.658552,554657
Large,XGBoost,B+C+ANSP_3hr,0.747335,0.575315,0.662247,554657
Large,XGBoost,B+C+Init_3hr,0.741394,0.569407,0.655744,554657
Large,XGBoost,B+C+ANSP_6hr,0.742144,0.569934,0.667703,554657
Large,XGBoost,B+C+Init_6hr,0.73851,0.566552,0.665952,554657
Large,RF,Baseline+Centrality,0.711234,0.457281,0.379694,554657
Large,RF,B+C+ANSP_2hr,0.725607,0.485014,0.411586,554657
Large,RF,B+C+Init_2hr,0.720147,0.47479,0.399525,554657
Large,RF,B+C+ANSP_3hr,0.7236,0.480329,0.405771,554657
Large,RF,B+C+Init_3hr,0.719049,0.472143,0.395791,554657
Large,RF,B+C+ANSP_6hr,0.718563,0.470984,0.395495,554657
Large,RF,B+C+Init_6hr,0.716174,0.46463,0.386776,554657
Large,BaggedLR,Baseline+Centrality,0.656521,0.503888,0.623387,554657
Large,BaggedLR,B+C+ANSP_2hr,0.705618,0.542353,0.645627,554657
Large,BaggedLR,B+C+Init_2hr,0.698453,0.533048,0.623006,554657
Large,BaggedLR,B+C+ANSP_3hr,0.689377,0.527761,0.633987,554657
Large,BaggedLR,B+C+Init_3hr,0.687025,0.523339,0.617464,554657
Large,BaggedLR,B+C+ANSP_6hr,0.658304,0.506365,0.62965,554657
Large,BaggedLR,B+C+Init_6hr,0.656656,0.503998,0.624495,554657
Large,ANN,Baseline+Centrality,0.694157,0.532426,0.657131,554657
Large,ANN,B+C+ANSP_2hr,0.732957,0.564478,0.66344,554657
Large,ANN,B+C+Init_2hr,0.721107,0.552376,0.652931,554657
Large,ANN,B+C+ANSP_3hr,0.726782,0.55819,0.657165,554657
Large,ANN,B+C+Init_3hr,0.717181,0.550712,0.654829,554657
Large,ANN,B+C+ANSP_6hr,0.707375,0.544119,0.676837,554657
Large,ANN,B+C+Init_6hr,0.69928,0.537455,0.67487,554657
Medium,XGBoost,Baseline+Centrality,0.733305,0.513118,0.642674,111070
Medium,XGBoost,B+C+ANSP_2hr,0.768307,0.550725,0.667738,111070
Medium,XGBoost,B+C+Init_2hr,0.750768,0.530822,0.644297,111070
Medium,XGBoost,B+C+ANSP_3hr,0.76358,0.544119,0.656406,111070
Medium,XGBoost,B+C+Init_3hr,0.748089,0.528521,0.632289,111070
Medium,XGBoost,B+C+ANSP_6hr,0.758418,0.536977,0.658943,111070
Medium,XGBoost,B+C+Init_6hr,0.74854,0.527698,0.656508,111070
Medium,RF,Baseline+Centrality,0.722086,0.332525,0.234271,111070
Medium,RF,B+C+ANSP_2hr,0.771898,0.403286,0.293059,111070
