Hub,Model,Features,AUC,F1,Recall,N_train,N_test
Large,XGBoost,Baseline+Centrality,0.666252,0.525347,0.674342,272992,281665
Large,XGBoost,B+C+ANSP_2hr,0.708199,0.557338,0.681,272992,281665
Large,XGBoost,B+C+Init_2hr,0.698181,0.550303,0.683191,272992,281665
Large,XGBoost,B+C+ANSP_3hr,0.700556,0.550925,0.677062,272992,281665
Large,XGBoost,B+C+Init_3hr,0.69244,0.545657,0.686028,272992,281665
Large,XGBoost,B+C+ANSP_6hr,0.676852,0.532365,0.666077,272992,281665
Large,XGBoost,B+C+Init_6hr,0.671381,0.528721,0.677914,272992,281665
Large,RF,Baseline+Centrality,0.673863,0.323211,0.228209,272992,281665
Large,RF,B+C+ANSP_2hr,0.713853,0.422233,0.322928,272992,281665
Large,RF,B+C+Init_2hr,0.70262,0.385109,0.283575,272992,281665
Large,RF,B+C+ANSP_3hr,0.707244,0.398038,0.294657,272992,281665
Large,RF,B+C+Init_3hr,0.69975,0.373958,0.271101,272992,281665
Large,RF,B+C+ANSP_6hr,0.689015,0.345061,0.245096,272992,281665
Large,RF,B+C+Init_6hr,0.681431,0.317698,0.219371,272992,281665
Large,BaggedLR,Baseline+Centrality,0.647598,0.524349,0.748829,272992,281665
Large,BaggedLR,B+C+ANSP_2hr,0.70128,0.55407,0.726741,272992,281665
Large,BaggedLR,B+C+Init_2hr,0.692611,0.547753,0.72645,272992,281665
Large,BaggedLR,B+C+ANSP_3hr,0.683597,0.540618,0.726212,272992,281665
Large,BaggedLR,B+C+Init_3hr,0.680802,0.537973,0.724961,272992,281665
Large,BaggedLR,B+C+ANSP_6hr,0.649771,0.526121,0.75102,272992,281665
Large,BaggedLR,B+C+Init_6hr,0.647465,0.524059,0.748257,272992,281665
Large,ANN,Baseline+Centrality,0.657386,0.530886,0.787017,272992,281665
Large,ANN,B+C+ANSP_2hr,0.715685,0.563382,0.746736,272992,281665
Large,ANN,B+C+Init_2hr,0.704181,0.555663,0.741287,272992,281665
Large,ANN,B+C+ANSP_3hr,0.706026,0.554888,0.700391,272992,281665
Large,ANN,B+C+Init_3hr,0.698753,0.551411,0.739021,272992,281665
Large,ANN,B+C+ANSP_6hr,0.673035,0.537103,0.754699,272992,281665
Large,ANN,B+C+Init_6hr,0.667524,0.532995,0.745776,272992,281665
Medium,XGBoost,Baseline+Centrality,0.681712,0.469003,0.583807,54409,56661
Medium,XGBoost,B+C+ANSP_2hr,0.7252,0.510782,0.597149,54409,56661
Medium,XGBoost,B+C+Init_2hr,0.702611,0.490268,0.584788,54409,56661
Medium,XGBoost,B+C+ANSP_3hr,0.717166,0.503914,0.593552,54409,56661
