Alpha,Beta,Gamma,Hub,N_train,N_test,AUC_Baseline,AUC_ANSP_2hr,DAUC
0.75,1.5,0.7,Large,272992,281665,0.666252,0.710148,0.043896
0.75,1.5,0.7,Medium,54409,56661,0.681712,0.724534,0.042822
0.75,1.5,0.7,Small,18429,19339,0.686555,0.720678,0.034123
0.75,1.5,0.7,All,345830,357665,0.678086,0.718376,0.04029
0.75,1.5,0.9,Large,272992,281665,0.666252,0.709313,0.043061
0.75,1.5,0.9,Medium,54409,56661,0.681712,0.725907,0.044195
0.75,1.5,0.9,Small,18429,19339,0.686555,0.716378,0.029823
0.75,1.5,0.9,All,345830,357665,0.678086,0.719347,0.041261
0.75,1.5,0.99,Large,272992,281665,0.666252,0.710752,0.0445
0.75,1.5,0.99,Medium,54409,56661,0.681712,0.724963,0.043251
0.75,1.5,0.99,Small,18429,19339,0.686555,0.715766,0.029211
0.75,1.5,0.99,All,345830,357665,0.678086,0.719426,0.04134
0.75,2.3,0.7,Large,272992,281665,0.666252,0.707826,0.041574
0.75,2.3,0.7,Medium,54409,56661,0.681712,0.726367,0.044655
0.75,2.3,0.7,Small,18429,19339,0.686555,0.715867,0.029312
0.75,2.3,0.7,All,345830,357665,0.678086,0.718013,0.039927
0.75,2.3,0.9,Large,272992,281665,0.666252,0.70665,0.040398
0.75,2.3,0.9,Medium,54409,56661,0.681712,0.724392,0.04268
0.75,2.3,0.9,Small,18429,19339,0.686555,0.707898,0.021343
0.75,2.3,0.9,All,345830,357665,0.678086,0.716653,0.038567
0.75,2.3,0.99,Large,272992,281665,0.666252,0.708049,0.041797
0.75,2.3,0.99,Medium,54409,56661,0.681712,0.726671,0.044959
0.75,2.3,0.99,Small,18429,19339,0.686555,0.714957,0.028402
0.75,2.3,0.99,All,345830,357665,0.678086,0.721013,0.042927
0.75,3.5,0.7,Large,272992,281665,0.666252,0.702895,0.036643
0.75,3.5,0.7,Medium,54409,56661,0.681712,0.723039,0.041327
0.75,3.5,0.7,Small,18429,19339,0.686555,0.710888,0.024333
0.75,3.5,0.7,All,345830,357665,0.678086,0.71859,0.040504
0.75,3.5,0.9,Large,272992,281665,0.666252,0.709229,0.042977
0.75,3.5,0.9,Medium,54409,56661,0.681712,0.725184,0.043472
0.75,3.5,0.9,Small,18429,19339,0.686555,0.709615,0.02306
0.75,3.5,0.9,All,345830,357665,0.678086,0.717243,0.039157
0.75,3.5,0.99,Large,272992,281665,0.666252,0.706711,0.040459
0.75,3.5,0.99,Medium,54409,56661,0.681712,0.7245,0.042788
0.75,3.5,0.99,Small,18429,19339,0.686555,0.714448,0.027893
0.75,3.5,0.99,All,345830,357665,0.678086,0.718822,0.040736
0.85,1.5,0.7,Large,272992,281665,0.666252,0.711103,0.044851
0.85,1.5,0.7,Medium,54409,56661,0.681712,0.725518,0.043806
0.85,1.5,0.7,Small,18429,19339,0.686555,0.715602,0.029047
0.85,1.5,0.7,All,345830,357665,0.678086,0.718263,0.040177
0.85,1.5,0.9,Large,272992,281665,0.666252,0.710455,0.044203
0.85,1.5,0.9,Medium,54409,56661,0.681712,0.727169,0.045457
0.85,1.5,0.9,Small,18429,19339,0.686555,0.713859,0.027304
0.85,1.5,0.9,All,345830,357665,0.678086,0.719291,0.041205
0.85,1.5,0.99,Large,272992,281665,0.666252,0.710977,0.044725
0.85,1.5,0.99,Medium,54409,56661,0.681712,0.723081,0.041369
0.85,1.5,0.99,Small,18429,19339,0.686555,0.714003,0.027448
0.85,1.5,0.99,All,345830,357665,0.678086,0.720968,0.042882
0.85,2.3,0.7,Large,272992,281665,0.666252,0.707043,0.040791
0.85,2.3,0.7,Medium,54409,56661,0.681712,0.724498,0.042786
0.85,2.3,0.7,Small,18429,19339,0.686555,0.71622,0.029665
0.85,2.3,0.7,All,345830,357665,0.678086,0.718702,0.040616
0.85,2.3,0.9,Large,272992,281665,0.666252,0.708199,0.041947
0.85,2.3,0.9,Medium,54409,56661,0.681712,0.7252,0.043488
0.85,2.3,0.9,Small,18429,19339,0.686555,0.715518,0.028963
0.85,2.3,0.9,All,345830,357665,0.678086,0.719238,0.041152
0.85,2.3,0.99,Large,272992,281665,0.666252,0.708846,0.042594
0.85,2.3,0.99,Medium,54409,56661,0.681712,0.722721,0.041009
0.85,2.3,0.99,Small,18429,19339,0.686555,0.712211,0.025656
0.85,2.3,0.99,All,345830,357665,0.678086,0.720392,0.042306
0.85,3.5,0.7,Large,272992,281665,0.666252,0.710904,0.044652
0.85,3.5,0.7,Medium,54409,56661,0.681712,0.723994,0.042282
0.85,3.5,0.7,Small,18429,19339,0.686555,0.707859,0.021304
0.85,3.5,0.7,All,345830,357665,0.678086,0.718541,0.040455
0.85,3.5,0.9,Large,272992,281665,0.666252,0.706662,0.04041
0.85,3.5,0.9,Medium,54409,56661,0.681712,0.722346,0.040634
0.85,3.5,0.9,Small,18429,19339,0.686555,0.712785,0.02623
0.85,3.5,0.9,All,345830,357665,0.678086,0.717773,0.039687
0.85,3.5,0.99,Large,272992,281665,0.666252,0.709913,0.043661
0.85,3.5,0.99,Medium,54409,56661,0.681712,0.726541,0.044829
0.85,3.5,0.99,Small,18429,19339,0.686555,0.711137,0.024582
0.85,3.5,0.99,All,345830,357665,0.678086,0.718338,0.040252
0.95,1.5,0.7,Large,272992,281665,0.666252,0.709903,0.043651
0.95,1.5,0.7,Medium,54409,56661,0.681712,0.728537,0.046825
0.95,1.5,0.7,Small,18429,19339,0.686555,0.717074,0.030519
0.95,1.5,0.7,All,345830,357665,0.678086,0.722153,0.044067
0.95,1.5,0.9,Large,272992,281665,0.666252,0.711538,0.045286
0.95,1.5,0.9,Medium,54409,56661,0.681712,0.727616,0.045904
0.95,1.5,0.9,Small,18429,19339,0.686555,0.713698,0.027143
0.95,1.5,0.9,All,345830,357665,0.678086,0.721018,0.042932
0.95,1.5,0.99,Large,272992,281665,0.666252,0.709768,0.043516
0.95,1.5,0.99,Medium,54409,56661,0.681712,0.729919,0.048207
0.95,1.5,0.99,Small,18429,19339,0.686555,0.718374,0.031819
0.95,1.5,0.99,All,345830,357665,0.678086,0.722677,0.044591
0.95,2.3,0.7,Large,272992,281665,0.666252,0.708637,0.042385
0.95,2.3,0.7,Medium,54409,56661,0.681712,0.726852,0.04514
0.95,2.3,0.7,Small,18429,19339,0.686555,0.715276,0.028721
0.95,2.3,0.7,All,345830,357665,0.678086,0.720732,0.042646
0.95,2.3,0.9,Large,272992,281665,0.666252,0.709064,0.042812
0.95,2.3,0.9,Medium,54409,56661,0.681712,0.725689,0.043977
0.95,2.3,0.9,Small,18429,19339,0.686555,0.714259,0.027704
0.95,2.3,0.9,All,345830,357665,0.678086,0.720359,0.042273
0.95,2.3,0.99,Large,272992,281665,0.666252,0.708976,0.042724
0.95,2.3,0.99,Medium,54409,56661,0.681712,0.728236,0.046524
0.95,2.3,0.99,Small,18429,19339,0.686555,0.713701,0.027146
0.95,2.3,0.99,All,345830,357665,0.678086,0.721147,0.043061
0.95,3.5,0.7,Large,272992,281665,0.666252,0.706853,0.040601
0.95,3.5,0.7,Medium,54409,56661,0.681712,0.723158,0.041446
0.95,3.5,0.7,Small,18429,19339,0.686555,0.713963,0.027408
0.95,3.5,0.7,All,345830,357665,0.678086,0.718974,0.040888
0.95,3.5,0.9,Large,272992,281665,0.666252,0.706607,0.040355
0.95,3.5,0.9,Medium,54409,56661,0.681712,0.726167,0.044455
0.95,3.5,0.9,Small,18429,19339,0.686555,0.714847,0.028292
0.95,3.5,0.9,All,345830,357665,0.678086,0.718101,0.040015
0.95,3.5,0.99,Large,272992,281665,0.666252,0.708401,0.042149
0.95,3.5,0.99,Medium,54409,56661,0.681712,0.725353,0.043641
0.95,3.5,0.99,Small,18429,19339,0.686555,0.717291,0.030736
0.95,3.5,0.99,All,345830,357665,0.678086,0.721502,0.043416
