Split,Hub,Model,Lag,Baseline_AUC,ANSP_AUC,DAUC,Baseline_F1,ANSP_F1,DF1,Baseline_Recall,ANSP_Recall,DRecall,Init_AUC,Init_DAUC,Prop_adds
CV,Large,XGBoost,2hr,0.735,0.7513,0.0163,0.564,0.5789,0.0149,0.6673,0.6666,-0.0007,0.7429,0.0079,0.0084
CV,Large,XGBoost,3hr,0.735,0.7473,0.0123,0.564,0.5753,0.0113,0.6673,0.6622,-0.0051,0.7414,0.0064,0.0059
CV,Large,XGBoost,6hr,0.735,0.7421,0.0071,0.564,0.5699,0.0059,0.6673,0.6677,0.0004,0.7385,0.0035,0.0036
CV,Large,RF,2hr,0.7112,0.7256,0.0144,0.4573,0.485,0.0277,0.3797,0.4116,0.0319,0.7201,0.0089,0.0055
CV,Large,RF,3hr,0.7112,0.7236,0.0124,0.4573,0.4803,0.023,0.3797,0.4058,0.0261,0.719,0.0078,0.0046
CV,Large,RF,6hr,0.7112,0.7186,0.0074,0.4573,0.471,0.0137,0.3797,0.3955,0.0158,0.7162,0.005,0.0024
CV,Large,BaggedLR,2hr,0.6565,0.7056,0.0491,0.5039,0.5424,0.0385,0.6234,0.6456,0.0222,0.6985,0.042,0.0071
CV,Large,BaggedLR,3hr,0.6565,0.6894,0.0329,0.5039,0.5278,0.0239,0.6234,0.634,0.0106,0.687,0.0305,0.0024
CV,Large,BaggedLR,6hr,0.6565,0.6583,0.0018,0.5039,0.5064,0.0025,0.6234,0.6296,0.0062,0.6567,0.0002,0.0016
CV,Large,ANN,2hr,0.6942,0.733,0.0388,0.5324,0.5645,0.0321,0.6571,0.6634,0.0063,0.7211,0.0269,0.0119
CV,Large,ANN,3hr,0.6942,0.7268,0.0326,0.5324,0.5582,0.0258,0.6571,0.6572,0.0001,0.7172,0.023,0.0096
CV,Large,ANN,6hr,0.6942,0.7074,0.0132,0.5324,0.5441,0.0117,0.6571,0.6768,0.0197,0.6993,0.0051,0.0081
CV,Medium,XGBoost,2hr,0.7333,0.7683,0.035,0.5131,0.5507,0.0376,0.6427,0.6677,0.025,0.7508,0.0175,0.0175
CV,Medium,XGBoost,3hr,0.7333,0.7636,0.0303,0.5131,0.5441,0.031,0.6427,0.6564,0.0137,0.7481,0.0148,0.0155
CV,Medium,XGBoost,6hr,0.7333,0.7584,0.0251,0.5131,0.537,0.0239,0.6427,0.6589,0.0162,0.7485,0.0152,0.0099
CV,Medium,RF,2hr,0.7221,0.7719,0.0498,0.3325,0.4033,0.0708,0.2343,0.2931,0.0588,0.756,0.0339,0.0159
CV,Medium,RF,3hr,0.7221,0.7692,0.0471,0.3325,0.3947,0.0622,0.2343,0.2839,0.0496,0.7525,0.0304,0.0167
CV,Medium,RF,6hr,0.7221,0.7619,0.0398,0.3325,0.3725,0.04,0.2343,0.262,0.0277,0.7505,0.0284,0.0114
CV,Medium,BaggedLR,2hr,0.6793,0.7183,0.039,0.4735,0.5092,0.0357,0.6447,0.6646,0.0199,0.7015,0.0222,0.0168
CV,Medium,BaggedLR,3hr,0.6793,0.7029,0.0236,0.4735,0.4924,0.0189,0.6447,0.6572,0.0125,0.688,0.0087,0.0149
CV,Medium,BaggedLR,6hr,0.6793,0.6794,0.0001,0.4735,0.474,0.0005,0.6447,0.6478,0.0031,0.6837,0.0044,-0.0043
CV,Medium,ANN,2hr,0.7096,0.7495,0.0399,0.4969,0.5356,0.0387,0.6734,0.684,0.0106,0.7311,0.0215,0.0184
