Hub,Features,N
Large,Baseline+Centrality,554657
Large,B+C+ANSP_2hr,554657
Large,B+C+Init_2hr,554657
Large,B+C+ANSP_3hr,554657
Large,B+C+Init_3hr,554657
Large,B+C+ANSP_6hr,554657
Large,B+C+Init_6hr,554657
Medium,Baseline+Centrality,111070
Medium,B+C+ANSP_2hr,111070
Medium,B+C+Init_2hr,111070
Medium,B+C+ANSP_3hr,111070
Medium,B+C+Init_3hr,111070
Medium,B+C+ANSP_6hr,111070
Medium,B+C+Init_6hr,111070
Small,Baseline+Centrality,37768
Small,B+C+ANSP_2hr,37768
Small,B+C+Init_2hr,37768
Small,B+C+ANSP_3hr,37768
Small,B+C+Init_3hr,37768
Small,B+C+ANSP_6hr,37768
Small,B+C+Init_6hr,37768
All,Baseline+Centrality,703495
All,B+C+ANSP_2hr,703495
All,B+C+Init_2hr,703495
All,B+C+ANSP_3hr,703495
All,B+C+Init_3hr,703495
All,B+C+ANSP_6hr,703495
All,B+C+Init_6hr,703495
