station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
SMF,2023-06-01,82.0,54.0,55.0,48.0,0.0,8.950456,,66.38978,SMF
OAK,2023-06-01,65.0,54.0,51.1,46.9,0.0,9.037353,,57.745575,OAK
SNA,2023-06-01,68.0,59.0,55.9,52.0,0.0,4.5186763,,63.982437,SNA
SJC,2023-06-01,74.0,53.0,55.0,46.0,0.0,7.994581,,61.030384,SJC
OAK,2023-06-02,68.0,52.0,50.0,46.4,0.0001,8.081479,,58.59345,OAK
SNA,2023-06-02,71.0,62.0,55.0,53.1,0.0,3.6497002,,65.81449,SNA
SJC,2023-06-02,74.0,52.0,54.0,46.9,0.0,7.2994003,,61.448223,SJC
SMF,2023-06-02,88.0,55.0,55.9,48.9,0.0,5.300755,,69.633354,SMF
SNA,2023-06-03,73.0,59.0,55.9,53.1,0.0,4.2579837,,64.871216,SNA
OAK,2023-06-03,71.0,50.0,54.0,48.0,0.0,6.6911173,,59.97777,OAK
SJC,2023-06-03,80.0,51.0,55.9,48.0,0.0,5.2138577,,64.97456,SJC
SMF,2023-06-03,93.0,57.0,57.0,48.9,0.0,5.7352433,,73.56817,SMF
SMF,2023-06-04,95.0,59.0,59.0,50.0,0.0,5.0400624,,77.15935,SMF
SNA,2023-06-04,70.0,61.0,55.9,55.0,0.0001,5.0400624,,64.56439,SNA
SJC,2023-06-04,80.0,54.0,59.0,50.0,0.0,5.2138577,,65.56586,SJC
OAK,2023-06-04,68.0,52.0,53.1,48.9,0.0,8.515967,,58.22941,OAK
OAK,2023-06-05,68.0,53.0,53.1,51.1,0.0,6.256629,,59.74286,OAK
SMF,2023-06-05,88.0,60.0,60.1,51.1,0.0,8.4290695,,71.08464,SMF
SJC,2023-06-05,74.0,54.0,54.0,50.0,0.0,10.775306,,62.118187,SJC
SNA,2023-06-05,66.0,59.0,55.9,48.0,0.0001,6.3435264,,62.55568,SNA
SNA,2023-06-06,69.0,60.0,53.1,46.9,0.0,5.7352433,,63.552124,SNA
OAK,2023-06-06,68.0,57.0,54.0,51.1,0.0001,8.689762,,61.502438,OAK
SMF,2023-06-06,76.0,59.0,54.0,50.0,0.0001,9.906329,,66.18648,SMF
SJC,2023-06-06,71.0,59.0,55.9,50.0,0.09,9.645637,,62.4138,SJC
SNA,2023-06-07,71.0,61.0,55.0,51.1,0.0001,5.12696,,65.23693,SNA
OAK,2023-06-07,69.0,57.0,53.1,51.1,0.0,8.689762,,61.85101,OAK
SMF,2023-06-07,79.0,58.0,55.0,51.1,0.0,9.12425,,67.735886,SMF
SJC,2023-06-07,74.0,59.0,55.9,50.0,0.0,7.0387077,,65.202576,SJC
SMF,2023-06-08,83.0,60.0,55.9,50.0,0.0,8.168377,,69.52225,SMF
SNA,2023-06-08,72.0,61.0,55.0,53.1,0.0,3.5628026,,65.71561,SNA
OAK,2023-06-08,69.0,54.0,54.0,51.1,0.0,8.863558,,61.576794,OAK
SJC,2023-06-08,72.0,57.0,57.0,51.8,0.0,7.125605,,63.985016,SJC
SNA,2023-06-09,69.0,63.0,57.0,53.6,0.0,3.5628026,,64.70063,SNA
OAK,2023-06-09,66.0,55.0,50.0,48.9,0.0,9.645637,,59.656307,OAK
SMF,2023-06-09,81.0,57.0,54.0,48.0,0.0,9.732533,,67.3396,SMF
SJC,2023-06-09,70.0,56.0,55.9,51.1,0.0,6.256629,,62.257004,SJC
SNA,2023-06-10,70.0,62.0,55.9,54.0,0.0,3.9972906,,65.08953,SNA
SJC,2023-06-10,69.0,56.0,55.9,51.1,0.0,5.0400624,,60.62854,SJC
SMF,2023-06-10,83.0,54.0,55.9,48.9,0.0001,6.6042194,,66.892784,SMF
OAK,2023-06-10,65.0,54.0,52.0,48.9,0.0,7.386298,,56.703907,OAK
SJC,2023-06-11,77.0,56.0,57.9,50.0,0.0,8.081479,,62.712612,SJC
OAK,2023-06-11,67.0,55.0,54.0,50.0,0.0,7.994581,,59.65338,OAK
SNA,2023-06-11,72.0,61.0,57.0,54.0,0.0001,7.5600934,,65.36181,SNA
SMF,2023-06-11,86.0,57.0,57.9,51.1,0.0,8.950456,,68.285,SMF
SNA,2023-06-12,71.0,62.0,59.0,55.0,0.02,4.0841885,,65.1032,SNA
SMF,2023-06-12,81.0,60.0,57.0,50.0,0.0,9.037353,,67.943146,SMF
OAK,2023-06-12,69.0,57.0,54.0,51.1,0.0001,9.819431,,61.1669,OAK
SJC,2023-06-12,76.0,57.0,59.0,50.0,0.0,7.125605,,63.876514,SJC
OAK,2023-06-13,67.0,56.0,54.0,51.1,0.0,9.211148,,60.354218,OAK
SNA,2023-06-13,72.0,63.0,55.9,54.0,0.0,3.8234954,,66.14509,SNA
SJC,2023-06-13,72.0,57.0,59.0,51.1,0.0,6.6911173,,63.695053,SJC
SMF,2023-06-13,84.0,58.0,57.9,51.1,0.0,8.77666,,70.46374,SMF
SMF,2023-06-14,88.0,58.0,60.1,51.1,0.0,7.7338886,,71.432915,SMF
SJC,2023-06-14,77.0,58.0,61.0,53.1,0.0,5.561448,,65.089195,SJC
OAK,2023-06-14,68.0,54.0,55.0,51.1,0.0,7.994581,,59.53993,OAK
SNA,2023-06-14,69.0,63.0,57.0,55.0,0.0,4.431779,,64.820206,SNA
SJC,2023-06-15,77.0,56.0,57.9,52.0,0.0,7.7338886,,64.4747,SJC
OAK,2023-06-15,70.0,55.0,55.0,52.0,0.0,8.081479,,61.28836,OAK
SNA,2023-06-15,70.0,61.0,57.9,55.0,0.0,4.605574,,65.16899,SNA
SMF,2023-06-15,94.0,59.0,60.1,42.1,0.0,5.4710803,,73.83556,SMF
SJC,2023-06-16,76.0,58.0,60.1,53.1,0.0,6.3435264,,65.31024,SJC
SMF,2023-06-16,98.0,57.0,60.1,41.0,0.0,6.082834,,74.69023,SMF
SNA,2023-06-16,75.0,64.0,59.0,55.9,0.0,4.0841885,,67.73108,SNA
OAK,2023-06-16,70.0,57.0,57.0,52.0,0.0,9.037353,,61.67157,OAK
SJC,2023-06-17,78.0,57.0,61.0,54.0,0.0,6.082834,,65.62516,SJC
SNA,2023-06-17,77.0,63.0,60.1,57.2,0.0,4.5186763,,68.30634,SNA
SMF,2023-06-17,88.0,59.0,59.0,53.1,0.0,11.470487,,71.53428,SMF
OAK,2023-06-17,68.0,57.0,55.0,52.0,0.0,8.602865,,60.45972,OAK
OAK,2023-06-18,68.0,56.0,53.1,46.9,0.0,11.731179,,61.314774,OAK
SJC,2023-06-18,75.0,56.0,55.0,42.1,0.0,7.907684,,64.96167,SJC
SMF,2023-06-18,87.0,59.0,57.0,44.1,0.0,9.298046,,70.80101,SMF
SNA,2023-06-18,72.0,63.0,59.0,55.0,0.0,5.300755,,65.6331,SNA
SJC,2023-06-19,69.0,54.0,46.9,42.1,0.0,10.775306,,60.52439,SJC
