station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
PHNL,2023-06-01,87.0,73.0,73.4,66.2,0.01,8.4290695,,80.159584,HNL
PHKO,2023-06-01,82.0,75.0,72.0,66.9,0.01,5.291986,,80.18007,KOA
PHNL,2023-06-02,86.0,75.0,69.1,64.0,0.0,9.12425,,80.02804,HNL
PHKO,2023-06-02,83.0,75.0,72.0,61.0,0.0,6.7777004,,79.23232,KOA
PHKO,2023-06-03,84.0,69.0,70.0,59.0,0.0,6.0522647,,79.34333,KOA
PHNL,2023-06-03,83.0,70.0,66.9,64.0,0.0,6.7780147,,77.68196,HNL
PHKO,2023-06-04,83.0,72.0,69.1,57.9,0.16,7.5463414,,78.69272,KOA
PHNL,2023-06-04,87.0,71.0,69.1,64.0,0.0001,6.8649125,,78.97947,HNL
PHKO,2023-06-05,83.0,72.0,68.0,64.0,0.02,5.610453,,78.15813,KOA
PHNL,2023-06-05,87.0,71.0,68.0,64.9,0.0,6.6911173,,79.22222,HNL
PHKO,2023-06-06,85.0,70.0,66.9,63.0,0.0,6.3554006,,79.79294,KOA
PHNL,2023-06-06,88.0,72.0,69.1,66.0,0.0001,7.994581,,80.74273,HNL
PHKO,2023-06-07,85.0,73.0,71.6,62.1,0.0001,6.7163763,,80.7873,KOA
PHNL,2023-06-07,89.0,73.0,70.0,61.0,0.0,8.168377,,80.98241,HNL
PHKO,2023-06-08,84.0,73.0,70.0,66.9,0.0001,6.6236935,,80.4597,KOA
PHNL,2023-06-08,87.0,74.0,69.1,64.9,0.0001,9.645637,,81.624115,HNL
PHKO,2023-06-09,86.0,75.0,70.0,66.0,0.0001,5.9930315,,82.11441,KOA
PHNL,2023-06-09,87.0,75.0,70.0,66.9,0.0,13.034643,,81.909256,HNL
PHKO,2023-06-10,86.0,74.0,70.0,66.0,0.04,6.439721,,82.14887,KOA
PHNL,2023-06-10,87.0,75.0,69.1,66.0,0.0001,12.252565,,81.19537,HNL
PHKO,2023-06-11,85.0,74.0,71.1,64.0,0.0001,7.3623695,,80.77989,KOA
PHNL,2023-06-11,88.0,75.0,69.1,66.0,0.01,12.339462,,81.67673,HNL
PHNL,2023-06-12,89.0,77.0,69.1,66.9,0.0,12.773951,,83.28957,HNL
PHKO,2023-06-12,84.0,74.0,71.1,64.9,0.0,6.9923344,,81.91757,KOA
PHNL,2023-06-13,85.0,74.0,72.0,68.0,0.08,10.080125,,80.34639,HNL
PHKO,2023-06-13,86.0,75.0,70.0,64.9,0.0,7.4229965,,81.66375,KOA
PHKO,2023-06-14,86.0,75.0,72.0,68.0,0.0001,7.626481,,82.1632,KOA
PHNL,2023-06-14,87.0,75.0,70.0,68.0,0.0,11.035998,,81.84979,HNL
PHNL,2023-06-15,86.0,74.0,73.9,68.0,0.12,9.471841,,80.14663,HNL
PHKO,2023-06-15,83.0,74.0,73.0,66.9,0.46,6.687108,,80.193,KOA
PHKO,2023-06-16,86.0,72.0,71.1,64.0,0.0,7.9156795,,81.45846,KOA
PHNL,2023-06-16,88.0,75.0,69.1,66.0,0.0,11.818077,,81.38222,HNL
PHNL,2023-06-17,88.0,75.0,69.1,64.0,0.0,10.60151,,81.5788,HNL
PHKO,2023-06-17,86.0,73.0,70.0,64.0,0.0,5.8452964,,81.23962,KOA
PHNL,2023-06-18,88.0,75.0,69.1,63.0,0.0,9.993227,0.0,81.2715,HNL
PHKO,2023-06-18,86.0,73.0,70.0,66.0,0.0,6.922648,,81.39045,KOA
PHKO,2023-06-19,85.0,74.0,70.0,64.0,0.09,6.7679443,,81.04411,KOA
PHNL,2023-06-19,88.0,74.0,70.0,64.0,0.0001,8.255275,,81.13899,HNL
PHKO,2023-06-20,86.0,73.0,71.1,66.0,0.0,6.709408,,81.7268,KOA
PHNL,2023-06-20,89.0,72.0,69.1,66.0,0.0,7.384669,,80.91255,HNL
PHKO,2023-06-21,87.0,75.0,72.0,62.1,0.01,7.8641114,,81.1225,KOA
PHNL,2023-06-21,89.0,74.0,70.0,66.0,0.0,9.993227,,82.080734,HNL
PHNL,2023-06-22,88.0,73.0,73.0,66.0,0.03,12.600156,,81.25036,HNL
PHKO,2023-06-22,86.0,73.0,69.1,62.1,0.0,6.70453,,81.69404,KOA
PHKO,2023-06-23,85.0,74.0,71.1,64.0,0.0,5.482927,,82.10482,KOA
PHNL,2023-06-23,87.0,74.0,70.0,68.0,0.01,14.077415,,81.90067,HNL
PHNL,2023-06-24,87.0,76.0,69.1,66.0,0.0001,15.207085,,81.61603,HNL
PHKO,2023-06-24,86.0,74.0,70.0,63.0,0.0,7.1945944,,81.6931,KOA
PHNL,2023-06-25,86.0,75.0,69.1,63.0,0.0001,14.511903,,79.78177,HNL
PHKO,2023-06-25,87.0,74.0,70.0,62.1,0.0,6.2139373,,81.50795,KOA
PHNL,2023-06-26,86.0,75.0,69.1,64.0,0.0001,13.642927,,80.76456,HNL
PHKO,2023-06-26,87.0,75.0,69.8,60.8,0.0,6.8034844,,82.00919,KOA
PHNL,2023-06-27,88.0,75.0,68.0,64.0,0.0,13.121541,,81.5854,HNL
PHKO,2023-06-27,87.0,75.0,70.0,57.9,0.0,7.1916375,,81.71068,KOA
PHKO,2023-06-28,85.0,73.0,68.0,57.9,0.0,5.385366,,80.361496,KOA
PHNL,2023-06-28,88.0,74.0,70.0,66.0,0.0001,12.07877,,81.629,HNL
PHNL,2023-06-29,88.0,74.0,72.0,66.9,0.04,9.037353,,81.0533,HNL
PHKO,2023-06-29,86.0,74.0,70.0,63.0,0.0,8.038327,,81.89183,KOA
PHKO,2023-06-30,86.0,74.0,71.1,62.1,0.0,6.542857,,81.627,KOA
PHNL,2023-06-30,87.0,73.0,72.0,66.9,0.09,9.12425,,80.32996,HNL
PHNL,2023-07-01,86.0,74.0,71.1,66.0,0.01,7.7338886,,80.20128,HNL
PHKO,2023-07-01,87.0,73.0,70.0,60.1,0.0,7.5358887,,81.37653,KOA
PHKO,2023-07-02,86.0,74.0,70.0,59.0,0.0,7.1498256,,82.610306,KOA
PHNL,2023-07-02,88.0,72.0,70.0,64.9,0.0,9.037353,,81.647484,HNL
PHNL,2023-07-03,89.0,75.0,72.0,68.0,0.0,9.384943,,83.42217,HNL
PHKO,2023-07-03,86.0,76.0,72.0,66.0,0.0,6.158885,,83.116974,KOA
PHNL,2023-07-04,89.0,76.0,69.1,66.0,0.0,11.904975,,83.12614,HNL
PHKO,2023-07-04,89.0,77.0,71.6,59.0,0.0,9.526133,,84.000404,KOA
PHKO,2023-07-05,86.0,75.0,71.1,64.0,0.0001,5.8285713,,81.15654,KOA
PHNL,2023-07-05,87.0,75.0,72.0,66.0,0.0001,9.906329,,81.92426,HNL
PHKO,2023-07-06,85.0,75.0,71.1,61.0,0.0001,6.2076654,,80.34126,KOA
PHNL,2023-07-06,87.0,75.0,71.1,66.0,0.0001,9.042509,,81.369576,HNL
PHNL,2023-07-07,87.0,75.0,68.0,64.9,0.0001,11.731179,,80.17688,HNL
PHKO,2023-07-07,84.0,73.0,69.1,62.1,0.0001,7.280836,,80.06292,KOA
PHNL,2023-07-08,87.0,75.0,69.1,63.0,0.0001,13.642927,,80.88486,HNL
PHKO,2023-07-08,85.0,73.0,70.0,60.1,0.0001,6.29338,,79.920555,KOA
PHNL,2023-07-09,87.0,74.0,68.0,63.0,0.0001,13.121541,,80.55157,HNL
PHKO,2023-07-09,85.0,74.0,69.1,64.0,0.0001,6.752613,,80.35437,KOA
PHNL,2023-07-10,87.0,73.0,70.0,64.9,0.11,10.25392,,79.7678,HNL
PHKO,2023-07-10,87.0,71.0,68.0,63.0,0.0,7.2703834,,81.03105,KOA
PHKO,2023-07-11,87.0,75.0,70.0,64.9,0.0001,6.6752615,,81.49083,KOA
PHNL,2023-07-11,88.0,74.0,72.0,66.9,0.0001,10.514612,,81.6968,HNL
PHKO,2023-07-12,86.0,75.0,71.1,64.9,0.0,7.266899,,83.30548,KOA
PHNL,2023-07-12,89.0,75.0,71.1,68.0,0.0,11.209793,,83.72518,HNL
PHKO,2023-07-13,87.0,77.0,70.0,63.0,0.0,6.9979095,,83.60923,KOA
PHNL,2023-07-13,89.0,76.0,69.1,66.0,0.0,10.427715,,83.09654,HNL
PHKO,2023-07-14,87.0,74.0,69.0,63.0,0.0,6.2139373,,82.44902,KOA
PHNL,2023-07-14,88.0,74.0,67.0,65.0,0.0,8.168377,,82.22911,HNL
PHKO,2023-07-15,84.0,74.0,68.0,60.8,0.0,7.68223,,79.22545,KOA
PHNL,2023-07-15,88.0,73.0,73.0,64.0,0.01,7.907684,,80.14117,HNL
PHNL,2023-07-16,88.0,72.0,70.0,65.0,0.03,9.819431,,81.02249,HNL
PHKO,2023-07-16,86.0,74.0,69.0,65.0,0.0,6.641115,,81.39376,KOA
PHNL,2023-07-17,89.0,77.0,73.0,67.0,0.0001,10.775306,,84.58201,HNL
PHKO,2023-07-17,87.0,76.0,70.0,66.0,0.0,6.0432057,,82.80184,KOA
PHKO,2023-07-18,88.0,75.0,70.0,61.0,0.0,9.397767,,84.43278,KOA
PHNL,2023-07-18,87.0,78.0,74.0,66.0,0.0001,12.339462,,83.73792,HNL
PHKO,2023-07-19,90.0,80.0,77.0,66.0,0.0,7.8933797,,90.01705,KOA
PHNL,2023-07-19,87.0,78.0,75.0,70.0,0.01,13.90362,,83.99784,HNL
PHKO,2023-07-20,86.0,76.0,75.0,69.0,0.03,7.821603,,85.36057,KOA
PHNL,2023-07-20,88.0,78.0,72.0,67.0,0.0001,12.687053,,84.34508,HNL
PHNL,2023-07-21,88.0,76.0,72.0,67.0,0.0001,12.165668,,83.014626,HNL
PHKO,2023-07-21,87.0,77.0,73.0,69.0,0.0,7.138676,,84.18672,KOA
PHKO,2023-07-22,87.0,79.0,73.0,66.0,0.0,6.2334495,,86.13672,KOA
PHNL,2023-07-22,89.0,75.0,73.0,69.0,0.0001,10.25392,,84.76844,HNL
PHKO,2023-07-23,87.0,76.0,74.0,68.0,0.0,6.472474,,85.15681,KOA
PHNL,2023-07-23,90.0,76.0,74.0,71.0,0.02,11.383589,,85.40451,HNL
PHKO,2023-07-24,88.0,77.0,72.0,65.0,0.0,5.912892,,85.79004,KOA
PHNL,2023-07-24,89.0,77.0,73.0,67.0,0.0001,11.035998,,84.13756,HNL
PHKO,2023-07-25,86.0,75.0,72.0,67.0,0.0001,4.9219513,,84.04855,KOA
PHNL,2023-07-25,89.0,77.0,70.0,66.0,0.0001,10.862203,,84.38726,HNL
PHNL,2023-07-26,89.0,77.0,72.0,68.0,0.0001,12.252565,,84.74475,HNL
PHKO,2023-07-26,87.0,77.0,73.0,69.8,0.0001,7.1972127,,85.660706,KOA
PHNL,2023-07-27,89.0,76.0,72.0,66.0,0.0001,12.252565,,83.910446,HNL
PHKO,2023-07-27,87.0,76.0,72.0,65.0,0.0,5.8801394,,85.00076,KOA
PHNL,2023-07-28,89.0,78.0,69.0,64.0,0.0,14.164312,,83.335075,HNL
PHKO,2023-07-28,87.0,77.0,69.0,64.0,0.0,5.5108013,,84.23704,KOA
PHKO,2023-07-29,87.0,76.0,70.0,64.0,0.0,7.073868,,83.88744,KOA
PHNL,2023-07-29,89.0,77.0,73.0,67.0,0.01,10.9491005,,83.136154,HNL
PHKO,2023-07-30,88.0,78.0,71.0,63.0,0.0,5.983972,,83.9893,KOA
PHNL,2023-07-30,90.0,76.0,70.0,65.0,0.0001,11.991872,,83.79297,HNL
PHNL,2023-07-31,88.0,77.0,71.0,66.0,0.0,13.816722,,83.56567,HNL
PHKO,2023-07-31,87.0,75.0,71.0,62.0,0.0,7.5832753,,83.93824,KOA
