station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
MSY,2023-06-01,88.0,70.0,70.0,61.0,0.0001,4.7793694,0.0,81.714584,MSY
MSY,2023-06-02,91.0,76.0,70.0,62.1,0.0,6.95181,0.0,83.70995,MSY
MSY,2023-06-03,93.0,73.0,73.0,62.1,0.0,5.7352433,0.0,83.83074,MSY
MSY,2023-06-04,94.0,72.0,70.0,60.1,0.03,6.082834,0.0,83.08457,MSY
MSY,2023-06-05,87.0,72.0,73.0,64.0,0.01,5.561448,0.0,80.594635,MSY
MSY,2023-06-06,84.0,71.0,71.1,66.0,0.01,3.1283145,0.0,78.29596,MSY
MSY,2023-06-07,92.0,70.0,71.1,60.1,0.0,3.3021097,0.0,80.14755,MSY
MSY,2023-06-08,94.0,71.0,73.0,64.9,0.87,4.171086,0.0,80.78993,MSY
MSY,2023-06-09,93.0,71.0,73.0,60.1,0.0,3.910393,0.0,84.20139,MSY
MSY,2023-06-10,93.0,74.0,75.0,66.9,0.35,4.8662667,0.0,85.20399,MSY
MSY,2023-06-11,93.0,76.0,75.0,70.0,0.0,7.0387077,0.0,87.80219,MSY
MSY,2023-06-12,94.0,77.0,75.9,70.0,0.0,5.7352433,0.0,89.55992,MSY
MSY,2023-06-13,94.0,76.0,77.0,73.0,0.0,7.0387077,0.0,91.45915,MSY
MSY,2023-06-14,94.0,81.0,78.1,73.0,0.0,9.819431,0.0,95.996346,MSY
MSY,2023-06-15,95.0,81.0,80.1,75.0,0.01,9.037353,0.0,96.55804,MSY
MSY,2023-06-16,94.0,80.0,79.0,73.0,0.0,8.081479,0.0,96.943954,MSY
MSY,2023-06-17,96.0,80.0,80.1,75.0,0.0,7.646991,0.0,99.04044,MSY
MSY,2023-06-18,96.0,80.0,79.0,75.9,0.0,8.081479,0.0,98.19002,MSY
MSY,2023-06-19,96.0,74.0,80.6,69.1,0.01,10.9491005,0.0,98.72134,MSY
MSY,2023-06-20,91.0,73.0,80.6,66.0,0.02,7.7338886,0.0,86.53844,MSY
MSY,2023-06-21,93.0,74.0,75.0,69.1,0.0,5.7352433,0.0,87.115105,MSY
MSY,2023-06-22,95.0,75.0,75.9,64.9,0.0001,5.387653,0.0,86.17105,MSY
MSY,2023-06-23,92.0,76.0,75.9,70.0,0.0,4.7793694,0.0,88.90639,MSY
MSY,2023-06-24,94.0,77.0,78.1,71.1,0.0001,4.605574,0.0,91.00677,MSY
MSY,2023-06-25,98.0,79.0,79.0,73.9,0.0,6.169731,0.0,98.877815,MSY
MSY,2023-06-26,93.0,77.0,80.1,71.6,0.23,5.0400624,0.0,93.376274,MSY
MSY,2023-06-27,97.0,79.0,80.1,75.0,0.0,5.8221407,0.0,99.48185,MSY
MSY,2023-06-28,98.0,81.0,79.0,71.1,0.0,5.2138577,0.0,100.93995,MSY
MSY,2023-06-29,100.0,81.0,79.0,72.0,0.0,5.387653,0.0,102.59744,MSY
MSY,2023-06-30,98.0,81.0,79.0,70.0,0.0,4.5186763,0.0,99.47789,MSY
MSY,2023-07-01,97.0,78.0,75.9,73.0,0.0,4.0841885,0.0,98.11566,MSY
MSY,2023-07-02,96.0,81.0,77.0,72.0,0.0,6.430424,0.0,96.63303,MSY
MSY,2023-07-03,94.0,79.0,77.0,71.1,0.0001,4.605574,0.0,95.12925,MSY
MSY,2023-07-04,92.0,80.0,77.0,72.0,0.0001,5.7352433,0.0,94.04908,MSY
MSY,2023-07-05,96.0,78.0,78.1,71.1,0.3,4.344881,0.0,94.09628,MSY
MSY,2023-07-06,94.0,78.0,75.9,72.0,0.02,3.910393,0.0,89.14058,MSY
MSY,2023-07-07,89.0,77.0,77.0,72.0,0.0,3.215212,0.0,89.6539,MSY
MSY,2023-07-08,94.0,78.0,78.1,73.0,0.0001,4.8662667,0.0,92.64821,MSY
MSY,2023-07-09,94.0,79.0,78.1,73.9,0.04,5.8221407,0.0,94.193054,MSY
MSY,2023-07-10,95.0,78.0,79.0,73.9,0.02,6.169731,0.0,94.379524,MSY
MSY,2023-07-11,95.0,78.0,81.0,72.0,0.37,5.2138577,0.0,92.03332,MSY
MSY,2023-07-12,98.0,80.0,80.1,69.1,0.0001,5.8221407,0.0,97.13692,MSY
MSY,2023-07-13,96.0,82.0,80.0,74.0,0.07,6.169731,0.0,98.61352,MSY
MSY,2023-07-14,95.0,80.0,79.0,72.0,0.0001,5.995936,0.0,97.63147,MSY
MSY,2023-07-15,98.0,79.0,80.0,70.0,0.0,5.9090385,0.0,98.4299,MSY
MSY,2023-07-16,98.0,76.0,80.0,74.0,0.42,6.6911173,0.0,91.99973,MSY
MSY,2023-07-17,95.0,76.0,77.0,72.0,0.0001,3.3021097,0.0,90.74961,MSY
MSY,2023-07-18,96.0,78.0,78.0,71.6,0.0001,3.6497002,0.0,96.52911,MSY
MSY,2023-07-19,97.0,79.0,78.0,74.0,0.0,4.0841885,0.0,97.7388,MSY
MSY,2023-07-20,98.0,79.0,78.0,75.0,0.0,3.910393,0.0,99.18959,MSY
MSY,2023-07-21,98.0,80.0,78.0,74.0,0.0,4.431779,0.0,99.00301,MSY
MSY,2023-07-22,96.0,75.0,79.0,72.0,1.03,5.995936,0.0,94.868095,MSY
MSY,2023-07-23,92.0,73.0,78.0,71.0,1.04,4.2579837,0.0,87.733665,MSY
MSY,2023-07-24,94.0,76.0,75.0,63.0,0.0,5.300755,0.0,87.83874,MSY
MSY,2023-07-25,94.0,75.0,78.0,58.0,0.0,2.6069288,0.0,89.74756,MSY
MSY,2023-07-26,95.0,75.0,74.0,65.0,0.0,4.2579837,0.0,89.23524,MSY
MSY,2023-07-27,95.0,77.0,75.0,69.0,0.0,5.0400624,0.0,90.721725,MSY
MSY,2023-07-28,94.0,76.0,77.0,71.0,0.0001,3.5628026,0.0,91.27946,MSY
MSY,2023-07-29,96.0,75.0,77.0,69.0,0.0,4.2579837,0.0,92.86197,MSY
MSY,2023-07-30,99.0,78.0,76.0,71.0,0.0,4.8662667,0.0,96.65233,MSY
MSY,2023-07-31,101.0,81.0,81.0,71.0,0.0,6.430424,0.0,100.916466,MSY
