station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
GRR,2023-06-01,91.0,63.0,66.9,53.1,0.01,3.3890073,0.0,76.58739,GRR
GRR,2023-06-02,91.0,60.0,62.1,48.9,0.0,3.3021097,0.0,76.65759,GRR
GRR,2023-06-03,90.0,62.0,62.1,46.0,0.0,8.342172,0.0,75.82461,GRR
GRR,2023-06-04,82.0,57.0,52.0,34.0,0.0,8.602865,0.0,68.74799,GRR
GRR,2023-06-05,85.0,55.0,51.1,41.0,0.0,4.5186763,0.0,69.65594,GRR
GRR,2023-06-06,78.0,53.0,55.9,46.9,0.0,5.2138577,0.0,67.19143,GRR
GRR,2023-06-07,77.0,47.0,48.9,34.0,0.0,5.12696,0.0,62.79292,GRR
GRR,2023-06-08,77.0,49.0,42.1,37.0,0.0,6.169731,0.0,63.814377,GRR
GRR,2023-06-09,77.0,50.0,48.9,39.0,0.0,5.0400624,0.0,64.54362,GRR
GRR,2023-06-10,82.0,48.0,51.1,42.1,0.0,6.6911173,0.0,67.10458,GRR
GRR,2023-06-11,67.0,54.0,60.8,51.1,0.11,8.342172,0.0,60.889603,GRR
GRR,2023-06-12,64.0,50.0,52.0,37.0,0.0,8.515967,0.0,56.42847,GRR
GRR,2023-06-13,70.0,49.0,54.0,44.1,0.07,6.3435264,0.0,56.90942,GRR
GRR,2023-06-14,73.0,50.0,54.0,48.9,0.0,4.6924715,0.0,60.449547,GRR
GRR,2023-06-15,75.0,50.0,60.1,48.9,0.02,7.125605,0.0,59.443405,GRR
GRR,2023-06-16,76.0,55.0,55.9,50.0,0.0,6.430424,0.0,64.75241,GRR
GRR,2023-06-17,81.0,52.0,57.0,42.1,0.0,5.2138577,0.0,67.35882,GRR
GRR,2023-06-18,84.0,52.0,57.0,46.9,0.0,3.5628026,0.0,70.14701,GRR
GRR,2023-06-19,86.0,57.0,51.1,39.0,0.0,7.5600934,0.0,72.41056,GRR
GRR,2023-06-20,90.0,59.0,63.0,50.0,0.0,9.298046,0.0,75.24372,GRR
GRR,2023-06-21,91.0,64.0,63.0,51.1,0.0,8.350314,0.0,77.39253,GRR
GRR,2023-06-22,85.0,62.0,59.0,55.9,0.0,6.082834,0.0,73.43262,GRR
GRR,2023-06-23,83.0,63.0,62.1,55.0,0.0,4.605574,0.0,73.2315,GRR
GRR,2023-06-24,90.0,67.0,63.0,55.0,0.0,4.344881,0.0,77.32062,GRR
