station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
RDU,2023-06-01,80.0,59.0,69.1,59.0,0.03,5.0400624,0.0,69.2137,RDU
RDU,2023-06-02,84.0,62.0,66.0,59.0,0.0,4.344881,0.0,73.29083,RDU
RDU,2023-06-03,89.0,59.0,63.0,55.9,0.0,5.9090385,0.0,75.1247,RDU
RDU,2023-06-04,73.0,61.0,59.0,53.1,0.0,7.0387077,0.0,65.784836,RDU
RDU,2023-06-05,83.0,57.0,60.1,52.0,0.0,4.344881,0.0,70.11623,RDU
RDU,2023-06-06,84.0,61.0,64.0,51.1,0.0,3.7365978,0.0,72.23225,RDU
RDU,2023-06-07,73.0,59.0,63.0,55.0,0.03,3.3021097,0.0,65.813416,RDU
RDU,2023-06-08,80.0,58.0,61.0,45.0,0.0,3.215212,0.0,68.14307,RDU
RDU,2023-06-09,82.0,50.0,53.1,45.0,0.0,2.780724,0.0,66.80875,RDU
RDU,2023-06-10,89.0,54.0,55.9,48.0,0.0,3.041417,0.0,71.6311,RDU
RDU,2023-06-11,91.0,63.0,64.0,52.0,0.0001,7.5600934,0.0,76.61101,RDU
RDU,2023-06-12,90.0,67.0,69.1,55.9,0.01,8.515967,0.0,77.564865,RDU
RDU,2023-06-13,87.0,61.0,59.0,54.0,0.0,4.0841885,0.0,73.1192,RDU
RDU,2023-06-14,90.0,58.0,64.9,55.0,0.0,9.298046,0.0,75.13765,RDU
RDU,2023-06-15,91.0,67.0,66.9,59.0,0.0,3.3890073,0.0,77.720726,RDU
RDU,2023-06-16,94.0,68.0,70.0,53.1,0.04,4.9531646,0.0,78.20193,RDU
RDU,2023-06-17,89.0,60.0,57.0,51.1,0.0,2.9545193,0.0,74.676186,RDU
RDU,2023-06-18,94.0,58.0,60.1,54.0,0.0,2.3462358,0.0,75.95546,RDU
RDU,2023-06-19,90.0,70.0,72.0,63.0,0.29,5.12696,0.0,77.11859,RDU
RDU,2023-06-20,78.0,69.0,73.0,66.0,0.76,6.95181,0.0,71.63837,RDU
RDU,2023-06-21,74.0,67.0,69.1,64.0,0.01,7.994581,0.0,69.96953,RDU
RDU,2023-06-22,79.0,66.0,73.9,64.0,1.06,4.6924715,0.0,71.72432,RDU
RDU,2023-06-23,87.0,70.0,72.0,66.9,0.58,6.169731,0.0,77.800064,RDU
RDU,2023-06-24,89.0,69.0,71.1,64.9,0.0,4.171086,0.0,79.64148,RDU
RDU,2023-06-25,92.0,69.0,69.1,66.0,0.0,4.5186763,0.0,82.410934,RDU
RDU,2023-06-26,94.0,73.0,72.0,55.0,0.0001,9.732533,0.0,85.77923,RDU
RDU,2023-06-27,89.0,67.0,68.0,57.0,0.0001,5.995936,0.0,79.4951,RDU
RDU,2023-06-28,89.0,67.0,64.9,60.1,0.0,1.9986453,0.0,78.12283,RDU
RDU,2023-06-29,89.0,66.0,66.0,60.1,0.0,2.3462358,0.0,77.59495,RDU
RDU,2023-06-30,90.0,70.0,73.0,64.0,0.31,4.344881,0.0,81.74201,RDU
RDU,2023-07-01,92.0,71.0,75.9,69.1,0.04,5.561448,0.0,81.49229,RDU
RDU,2023-07-02,96.0,70.0,77.0,68.0,0.0,6.3435264,0.0,89.44448,RDU
RDU,2023-07-03,96.0,79.0,75.9,68.0,0.0,8.689762,0.0,93.079384,RDU
RDU,2023-07-04,95.0,77.0,75.9,66.9,0.0,4.6924715,0.0,89.203384,RDU
RDU,2023-07-05,92.0,74.0,75.0,70.0,0.05,3.3021097,0.0,83.89327,RDU
RDU,2023-07-06,92.0,73.0,73.4,70.0,0.0001,2.6069288,0.0,83.89483,RDU
RDU,2023-07-07,96.0,73.0,73.9,70.0,0.39,3.8234954,0.0,85.758446,RDU
RDU,2023-07-08,90.0,72.0,77.0,70.0,0.07,2.085543,0.0,81.88869,RDU
RDU,2023-07-09,89.0,71.0,75.0,69.1,0.88,3.3021097,0.0,78.071014,RDU
RDU,2023-07-10,88.0,71.0,71.1,66.9,0.0001,1.1296691,0.0,78.75379,RDU
RDU,2023-07-11,92.0,67.0,70.0,61.0,0.0,2.3462358,0.0,80.03593,RDU
RDU,2023-07-12,94.0,66.0,71.1,61.0,0.0,2.8676217,0.0,83.85896,RDU
RDU,2023-07-13,95.0,74.0,73.9,68.0,0.0,7.646991,0.0,89.45687,RDU
RDU,2023-07-14,88.0,73.0,78.0,71.0,1.39,7.125605,0.0,84.688545,RDU
RDU,2023-07-15,92.0,73.0,77.0,72.0,0.0001,6.430424,0.0,87.48898,RDU
RDU,2023-07-16,92.0,73.0,76.0,69.0,0.0,6.169731,0.0,87.376625,RDU
RDU,2023-07-17,90.0,69.0,70.0,66.0,0.0,1.7379525,0.0,81.34056,RDU
RDU,2023-07-18,94.0,69.0,73.0,68.0,0.0,3.215212,0.0,85.55474,RDU
RDU,2023-07-19,89.0,75.0,76.0,72.0,0.62,5.8221407,0.0,86.91332,RDU
RDU,2023-07-20,92.0,73.0,73.0,71.0,0.0,3.041417,0.0,85.7533,RDU
RDU,2023-07-21,93.0,74.0,74.0,62.0,0.0,4.344881,0.0,85.163345,RDU
RDU,2023-07-22,84.0,70.0,69.0,64.0,0.0,3.9972906,0.0,77.8511,RDU
RDU,2023-07-23,91.0,67.0,71.0,65.0,0.01,3.3890073,0.0,80.759766,RDU
RDU,2023-07-24,91.0,70.0,73.0,66.0,0.84,3.910393,0.0,81.152115,RDU
RDU,2023-07-25,94.0,71.0,74.0,67.0,0.0,2.9545193,0.0,85.94458,RDU
