station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
PDX,2023-06-01,73.0,47.0,46.0,39.9,0.0,4.431779,0.0,59.392174,PDX
PDX,2023-06-02,77.0,50.0,45.0,35.1,0.0,5.387653,0.0,62.68488,PDX
PDX,2023-06-03,81.0,51.0,51.1,39.0,0.0,7.386298,0.0,64.40708,PDX
PDX,2023-06-04,77.0,52.0,46.9,26.1,0.0,9.993227,0.0,63.584667,PDX
PDX,2023-06-05,82.0,53.0,42.1,25.0,0.0,8.168377,0.0,67.67326,PDX
PDX,2023-06-06,92.0,56.0,48.9,32.0,0.0,4.6924715,0.0,72.7765,PDX
PDX,2023-06-07,84.0,61.0,57.0,46.0,0.0,5.0400624,0.0,70.76902,PDX
PDX,2023-06-08,72.0,57.0,55.9,46.9,0.01,3.475905,0.0,64.58676,PDX
PDX,2023-06-09,62.0,56.0,53.1,50.0,0.08,3.3021097,0.0,58.903904,PDX
PDX,2023-06-10,73.0,55.0,53.1,48.0,0.0,5.4745502,0.0,63.43524,PDX
PDX,2023-06-11,79.0,56.0,55.0,52.0,0.0,7.5600934,0.0,67.20791,PDX
PDX,2023-06-12,89.0,61.0,59.0,53.1,0.0,4.344881,0.0,73.58964,PDX
PDX,2023-06-13,76.0,58.0,54.0,43.0,0.0,7.125605,0.0,65.400696,PDX
PDX,2023-06-14,70.0,54.0,43.0,39.0,0.0,7.646991,0.0,61.086323,PDX
PDX,2023-06-15,77.0,50.0,48.9,41.0,0.0,5.7352433,0.0,62.65624,PDX
PDX,2023-06-16,80.0,55.0,57.9,42.1,0.0001,4.8662667,0.0,66.9331,PDX
PDX,2023-06-17,67.0,55.0,53.6,42.1,0.0,6.8649125,0.0,61.429268,PDX
PDX,2023-06-18,58.0,50.0,48.9,42.1,0.98,4.5186763,0.0,54.360558,PDX
PDX,2023-06-19,63.0,49.0,48.0,41.0,0.14,4.5186763,0.0,54.096245,PDX
PDX,2023-06-20,68.0,53.0,51.1,43.0,0.0,5.4745502,0.0,59.30439,PDX
PDX,2023-06-21,79.0,50.0,51.1,45.0,0.0,4.6924715,0.0,64.25589,PDX
PDX,2023-06-22,88.0,57.0,53.1,45.0,0.0,6.430424,0.0,71.758705,PDX
PDX,2023-06-23,85.0,57.0,55.0,48.0,0.0,5.0400624,0.0,70.055435,PDX
PDX,2023-06-24,83.0,54.0,48.9,41.0,0.0,5.9090385,0.0,66.75482,PDX
PDX,2023-06-25,83.0,55.0,53.1,48.9,0.0,6.430424,0.0,68.318596,PDX
PDX,2023-06-26,81.0,56.0,55.0,48.9,0.0,5.6483455,0.0,66.47005,PDX
PDX,2023-06-27,81.0,58.0,55.9,50.0,0.0,4.0841885,0.0,67.78052,PDX
PDX,2023-06-28,87.0,58.0,57.9,52.0,0.0,5.0400624,0.0,70.364075,PDX
PDX,2023-06-29,89.0,60.0,55.9,51.1,0.0,5.561448,0.0,72.910484,PDX
PDX,2023-06-30,86.0,60.0,57.9,45.0,0.0,7.386298,0.0,71.22127,PDX
PDX,2023-07-01,84.0,56.0,51.1,43.0,0.0,6.95181,0.0,69.046616,PDX
PDX,2023-07-02,86.0,58.0,53.1,46.0,0.0,7.0387077,0.0,70.65821,PDX
PDX,2023-07-03,90.0,59.0,50.0,39.0,0.0,5.6483455,0.0,73.18124,PDX
PDX,2023-07-04,96.0,62.0,52.0,42.1,0.0,4.5186763,0.0,77.34881,PDX
PDX,2023-07-05,98.0,63.0,57.0,41.0,0.0,5.561448,0.0,79.24539,PDX
PDX,2023-07-06,89.0,61.0,59.0,48.9,0.0,4.7793694,0.0,73.64343,PDX
PDX,2023-07-07,78.0,58.0,57.0,51.1,0.0,3.9972906,0.0,65.59833,PDX
PDX,2023-07-08,76.0,59.0,55.0,50.0,0.0,3.7365978,0.0,65.97707,PDX
PDX,2023-07-09,85.0,58.0,55.9,51.1,0.0,5.7352433,0.0,68.98818,PDX
PDX,2023-07-10,72.0,59.0,55.0,50.0,0.0001,2.6938264,0.0,64.842575,PDX
PDX,2023-07-11,82.0,62.0,55.0,51.1,0.0,5.9090385,0.0,70.877174,PDX
PDX,2023-07-12,84.0,61.0,57.0,50.0,0.0,4.9531646,0.0,70.91763,PDX
PDX,2023-07-13,88.0,61.0,55.0,48.0,0.0,5.2138577,0.0,73.197815,PDX
PDX,2023-07-14,93.0,64.0,58.0,49.0,0.0,5.0400624,0.0,76.853645,PDX
PDX,2023-07-15,96.0,65.0,56.0,51.0,0.0,6.082834,0.0,79.17079,PDX
PDX,2023-07-16,92.0,63.0,57.0,51.0,0.0,6.256629,0.0,74.992645,PDX
PDX,2023-07-17,79.0,63.0,54.0,51.0,0.0,5.4745502,0.0,70.10593,PDX
PDX,2023-07-18,88.0,59.0,54.0,47.0,0.0,7.2994003,0.0,72.38426,PDX
PDX,2023-07-19,96.0,64.0,58.0,49.0,0.0,5.561448,0.0,78.1133,PDX
PDX,2023-07-20,88.0,64.0,59.0,55.0,0.0,3.3021097,0.0,74.40732,PDX
PDX,2023-07-21,88.0,63.0,57.0,52.0,0.0,5.561448,0.0,72.89859,PDX
PDX,2023-07-22,89.0,62.0,58.0,48.0,0.0,6.082834,0.0,74.587776,PDX
PDX,2023-07-23,88.0,64.0,56.0,49.0,0.0,6.3435264,0.0,73.3527,PDX
PDX,2023-07-24,77.0,61.0,57.0,52.0,0.0001,5.9090385,0.0,69.770035,PDX
PDX,2023-07-25,80.0,63.0,59.0,47.0,0.0,6.7780147,0.0,70.68572,PDX
