station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
TJSJ,2023-06-01,93.0,78.0,79.0,73.0,0.0001,5.6483455,0.0,92.08372,SJU
TJSJ,2023-06-02,92.0,81.0,75.9,73.0,0.0,7.212503,,93.25319,SJU
TJSJ,2023-06-03,93.0,82.0,75.9,73.0,0.0,8.342172,,94.733665,SJU
TJSJ,2023-06-04,94.0,82.0,77.0,73.0,0.0,8.168377,0.0,95.235466,SJU
TJSJ,2023-06-05,94.0,82.0,77.0,72.0,0.0001,6.7780147,,95.12035,SJU
TJSJ,2023-06-06,95.0,78.0,75.9,72.0,0.0,5.4745502,,93.86811,SJU
TJSJ,2023-06-07,94.0,78.0,77.0,73.0,0.0,6.430424,,93.23904,SJU
TJSJ,2023-06-08,95.0,79.0,77.0,69.1,0.0,7.386298,,93.07662,SJU
TJSJ,2023-06-09,95.0,80.0,79.0,71.1,0.01,7.0387077,,94.52799,SJU
TJSJ,2023-06-10,94.0,81.0,78.1,73.0,0.01,9.384943,0.0,94.31461,SJU
TJSJ,2023-06-11,93.0,79.0,77.0,72.0,0.0001,10.9491005,0.0,93.013336,SJU
TJSJ,2023-06-12,91.0,79.0,78.1,73.0,0.19,10.956824,,91.891106,SJU
TJSJ,2023-06-13,92.0,78.0,78.1,73.0,0.05,8.255275,,90.840675,SJU
TJSJ,2023-06-14,95.0,80.0,77.0,66.0,0.0001,8.515967,0.0,92.76407,SJU
TJSJ,2023-06-15,95.0,80.0,77.0,73.0,0.0,11.209793,0.0,95.08767,SJU
TJSJ,2023-06-16,93.0,79.0,75.9,73.0,0.0001,10.862203,,92.769005,SJU
TJSJ,2023-06-17,90.0,78.0,75.0,72.0,0.01,10.9491005,,90.11327,SJU
TJSJ,2023-06-18,91.0,79.0,78.1,72.0,0.4,6.5173216,,88.698425,SJU
TJSJ,2023-06-19,91.0,78.0,75.0,72.0,0.0001,6.8649125,,89.488884,SJU
TJSJ,2023-06-20,92.0,78.0,75.9,69.1,0.0001,7.386298,,90.18741,SJU
TJSJ,2023-06-21,93.0,80.0,80.1,75.0,0.26,10.60151,0.0,94.33568,SJU
TJSJ,2023-06-22,90.0,81.0,78.1,75.9,0.0001,11.731179,0.0,94.817635,SJU
TJSJ,2023-06-23,90.0,77.0,78.1,72.0,0.4,9.645637,,91.09388,SJU
TJSJ,2023-06-24,89.0,77.0,77.0,73.9,0.17,9.12425,,88.942535,SJU
TJSJ,2023-06-25,89.0,79.0,75.9,73.4,0.11,7.4731956,,88.85568,SJU
TJSJ,2023-06-26,89.0,79.0,75.9,72.0,0.04,5.8221407,,90.03257,SJU
TJSJ,2023-06-27,90.0,79.0,78.1,73.9,0.01,6.7780147,,93.16732,SJU
TJSJ,2023-06-28,91.0,78.0,79.0,75.0,0.6,4.0841885,,91.403275,SJU
TJSJ,2023-06-29,86.0,76.0,77.0,71.1,0.04,3.9972906,,84.7438,SJU
TJSJ,2023-06-30,93.0,79.0,77.0,73.0,0.0001,5.300755,,91.77859,SJU
TJSJ,2023-07-01,92.0,80.0,77.0,72.0,0.0001,9.553621,,92.96832,SJU
TJSJ,2023-07-02,93.0,80.0,78.1,73.0,0.0001,9.993227,,94.236145,SJU
TJSJ,2023-07-03,90.0,80.0,79.0,73.9,0.03,11.035998,0.0,93.64956,SJU
TJSJ,2023-07-04,86.0,79.0,80.1,77.0,0.22,7.7338886,0.0,93.376656,SJU
