station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
PVD,2023-06-01,77.0,51.0,62.1,51.1,0.0,6.6911173,0.0,65.03171,PVD
PVD,2023-06-02,79.0,55.0,64.0,55.9,0.02,5.561448,0.0,67.836586,PVD
PVD,2023-06-03,58.0,45.0,57.0,43.0,0.0001,14.338108,0.0,49.75734,PVD
PVD,2023-06-04,56.0,45.0,48.0,41.0,0.01,11.904975,0.0,47.407658,PVD
PVD,2023-06-05,64.0,48.0,53.1,46.9,0.02,7.386298,0.0,53.43336,PVD
PVD,2023-06-06,74.0,52.0,51.1,41.0,0.09,7.994581,0.0,60.966827,PVD
PVD,2023-06-07,68.0,48.0,48.9,46.0,0.0,7.386298,0.0,57.916855,PVD
PVD,2023-06-08,64.0,48.0,53.1,46.9,0.0001,2.3462358,0.0,57.234802,PVD
PVD,2023-06-09,65.0,48.0,55.0,48.0,0.36,3.910393,0.0,55.22504,PVD
PVD,2023-06-10,68.0,50.0,57.0,50.0,0.02,3.041417,0.0,58.068554,PVD
PVD,2023-06-11,75.0,50.0,60.1,51.1,0.0,5.2138577,0.0,63.13791,PVD
PVD,2023-06-12,74.0,58.0,64.9,57.9,0.17,7.4731956,0.0,65.25269,PVD
PVD,2023-06-13,73.0,61.0,66.9,57.0,0.02,7.386298,0.0,65.94186,PVD
PVD,2023-06-14,76.0,55.0,64.9,54.0,0.02,6.5173216,0.0,65.47687,PVD
PVD,2023-06-15,76.0,55.0,59.0,55.0,0.0,8.168377,0.0,65.9587,PVD
PVD,2023-06-16,82.0,60.0,61.0,54.0,0.0001,5.2138577,0.0,69.018196,PVD
PVD,2023-06-17,66.0,56.0,62.1,55.9,1.3,3.7365978,0.0,60.21303,PVD
PVD,2023-06-18,74.0,54.0,61.0,54.0,0.0,6.6911173,0.0,63.221603,PVD
PVD,2023-06-19,69.0,55.0,60.8,55.0,0.0,4.8662667,0.0,61.943764,PVD
PVD,2023-06-20,68.0,52.0,57.9,53.1,0.0,5.0400624,0.0,59.304737,PVD
PVD,2023-06-21,70.0,50.0,55.9,51.1,0.0,6.3435264,0.0,60.00836,PVD
PVD,2023-06-22,72.0,50.0,61.0,51.1,0.0,7.994581,0.0,61.42327,PVD
PVD,2023-06-23,73.0,59.0,66.0,57.9,0.0,6.3435264,0.0,64.70908,PVD
PVD,2023-06-24,73.0,62.0,71.1,64.0,0.59,6.5173216,0.0,66.81405,PVD
PVD,2023-06-25,80.0,64.0,71.1,64.0,0.0,6.6042194,0.0,69.16202,PVD
PVD,2023-06-26,77.0,64.0,73.0,64.0,0.01,6.7780147,0.0,68.4348,PVD
PVD,2023-06-27,77.0,64.0,70.0,64.0,0.47,10.167022,0.0,69.68519,PVD
PVD,2023-06-28,75.0,65.0,68.0,64.0,0.44,7.7338886,0.0,70.143,PVD
PVD,2023-06-29,79.0,64.0,66.9,62.1,0.0001,5.995936,0.0,71.1522,PVD
PVD,2023-06-30,81.0,61.0,66.9,59.0,0.0,4.9531646,0.0,71.198074,PVD
PVD,2023-07-01,80.0,61.0,66.0,60.1,0.0,4.8662667,0.0,70.86463,PVD
PVD,2023-07-02,79.0,65.0,72.0,63.0,0.24,7.2994003,0.0,70.64221,PVD
PVD,2023-07-03,86.0,70.0,72.0,70.0,0.05,6.082834,0.0,78.017105,PVD
PVD,2023-07-04,80.0,69.0,73.9,68.0,0.96,2.5200312,0.0,71.00691,PVD
PVD,2023-07-05,86.0,67.0,73.9,66.2,0.0,5.0400624,0.0,77.410355,PVD
PVD,2023-07-06,89.0,69.0,75.0,66.0,0.0,6.082834,0.0,80.00613,PVD
PVD,2023-07-07,81.0,69.0,72.0,66.9,0.0,7.5600934,0.0,73.7907,PVD
PVD,2023-07-08,85.0,71.0,72.0,68.0,0.0,4.6924715,0.0,76.717606,PVD
PVD,2023-07-09,80.0,70.0,70.0,66.9,0.0,4.605574,0.0,73.90655,PVD
PVD,2023-07-10,73.0,65.0,71.1,64.0,1.91,6.082834,0.0,70.25073,PVD
PVD,2023-07-11,87.0,64.0,68.0,60.1,0.0,7.125605,0.0,76.219795,PVD
PVD,2023-07-12,89.0,67.0,69.1,64.0,0.0,5.561448,0.0,79.80925,PVD
PVD,2023-07-13,87.0,68.0,73.9,62.0,0.0,7.2994003,0.0,78.59004,PVD
PVD,2023-07-14,80.0,66.0,73.0,62.0,0.58,6.5173216,0.0,72.70077,PVD
PVD,2023-07-15,83.0,70.0,75.0,69.8,0.03,7.5600934,0.0,77.454605,PVD
PVD,2023-07-16,77.0,72.0,75.0,72.0,3.35,9.298046,0.0,74.437035,PVD
PVD,2023-07-17,87.0,71.0,74.0,66.0,0.0,5.7352433,0.0,79.343544,PVD
PVD,2023-07-18,83.0,71.0,75.0,68.0,0.0,6.6042194,0.0,77.134926,PVD
PVD,2023-07-19,83.0,70.0,73.0,60.0,0.0,5.387653,0.0,76.83686,PVD
PVD,2023-07-20,85.0,67.0,68.0,60.0,0.0,4.605574,0.0,75.50829,PVD
PVD,2023-07-21,78.0,67.0,71.0,67.0,0.37,6.8649125,0.0,72.17037,PVD
PVD,2023-07-22,83.0,65.0,71.0,60.0,0.0,4.6924715,0.0,74.58089,PVD
PVD,2023-07-23,85.0,64.0,65.0,57.0,0.0,5.300755,0.0,75.05062,PVD
PVD,2023-07-24,84.0,65.0,70.0,61.0,0.0,5.6483455,0.0,75.57763,PVD
PVD,2023-07-25,84.0,66.0,72.0,64.0,0.1,6.169731,0.0,74.967354,PVD
PVD,2023-07-26,87.0,64.0,69.0,64.0,0.0,6.256629,0.0,75.87368,PVD
PVD,2023-07-27,88.0,69.0,76.0,68.0,0.12,9.645637,0.0,80.49055,PVD
PVD,2023-07-28,89.0,71.0,73.0,69.0,0.0,6.169731,0.0,82.21113,PVD
PVD,2023-07-29,86.0,65.0,76.0,64.0,0.66,7.386298,0.0,80.762474,PVD
PVD,2023-07-30,77.0,61.0,64.0,53.0,0.0,7.386298,0.0,68.234146,PVD
PVD,2023-07-31,81.0,59.0,59.0,49.0,0.0,5.8221407,0.0,70.719376,PVD
