station,day,max_temp_f,min_temp_f,max_dewpoint_f,min_dewpoint_f,precip_in,avg_wind_speed_kts,snow_in,avg_feel,IATA
HOU,2023-06-01,90.0,71.0,70.0,63.0,0.0,5.561448,0.0,81.777176,HOU
DAL,2023-06-01,89.0,73.0,69.1,62.1,0.0,6.169731,0.0,82.20444,DAL
SAT,2023-06-01,90.0,72.0,70.0,66.9,0.0001,9.993227,0.0,81.037346,SAT
ELP,2023-06-01,89.0,73.0,30.0,14.0,0.0,10.080125,0.0,78.63191,ELP
DAL,2023-06-02,91.0,74.0,69.1,64.0,0.0,6.6911173,0.0,84.48754,DAL
SAT,2023-06-02,90.0,66.0,70.0,63.0,0.41,8.342172,0.0,80.83809,SAT
ELP,2023-06-02,90.0,74.0,27.0,15.1,0.0,9.298046,0.0,79.389244,ELP
HOU,2023-06-02,91.0,73.0,69.1,66.0,0.0,4.7793694,0.0,82.99425,HOU
SAT,2023-06-03,88.0,64.0,69.1,53.6,0.08,6.256629,0.0,79.11928,SAT
DAL,2023-06-03,92.0,69.0,66.0,60.1,0.17,4.7793694,0.0,78.79866,DAL
ELP,2023-06-03,93.0,64.0,30.9,19.0,0.0,5.300755,0.0,78.79567,ELP
HOU,2023-06-03,93.0,73.0,70.0,63.0,0.0,6.082834,0.0,84.50124,HOU
HOU,2023-06-04,87.0,68.0,68.0,61.0,0.5,5.9090385,0.0,78.08654,HOU
SAT,2023-06-04,83.0,70.0,70.0,64.0,0.12,4.605574,0.0,74.10698,SAT
ELP,2023-06-04,94.0,69.0,50.0,30.0,0.0,6.6911173,0.0,78.40324,ELP
DAL,2023-06-04,89.0,67.0,64.0,61.0,0.0,4.2579837,0.0,77.72472,DAL
DAL,2023-06-05,86.0,65.0,64.9,60.1,0.09,4.8662667,0.0,76.50906,DAL
HOU,2023-06-05,88.0,71.0,72.0,63.0,0.67,5.9090385,0.0,76.99403,HOU
ELP,2023-06-05,92.0,67.0,51.1,37.0,0.0,8.77666,0.0,77.95041,ELP
SAT,2023-06-05,90.0,67.0,66.9,62.1,0.08,4.7793694,0.0,76.73257,SAT
SAT,2023-06-06,87.0,66.0,68.0,63.0,0.17,2.8676217,0.0,76.04685,SAT
DAL,2023-06-06,88.0,70.0,66.9,62.1,0.06,2.085543,0.0,78.46469,DAL
HOU,2023-06-06,87.0,70.0,70.0,66.0,0.02,3.1283145,0.0,76.527954,HOU
ELP,2023-06-06,94.0,65.0,54.0,44.1,0.03,9.906329,0.0,76.55588,ELP
SAT,2023-06-07,88.0,68.0,68.0,64.9,0.0,1.9986453,0.0,79.3634,SAT
DAL,2023-06-07,90.0,67.0,68.0,62.1,0.91,1.9986453,0.0,78.69308,DAL
HOU,2023-06-07,92.0,70.0,70.0,63.0,0.0001,3.041417,0.0,81.73022,HOU
ELP,2023-06-07,93.0,61.0,54.0,18.0,0.0,8.4290695,0.0,76.10304,ELP
HOU,2023-06-08,93.0,70.0,71.6,64.9,1.28,5.6483455,0.0,80.420586,HOU
SAT,2023-06-08,91.0,72.0,70.0,66.0,0.0001,5.2138577,0.0,82.56045,SAT
DAL,2023-06-08,92.0,68.0,70.0,64.0,0.0,3.041417,0.0,79.76614,DAL
ELP,2023-06-08,95.0,67.0,28.0,16.0,0.0,6.6911173,0.0,80.816376,ELP
SAT,2023-06-09,98.0,72.0,75.2,66.0,0.0,4.5186763,0.0,89.22519,SAT
DAL,2023-06-09,94.0,71.0,71.1,66.0,0.0,4.7793694,0.0,85.79937,DAL
HOU,2023-06-09,95.0,70.0,73.9,66.0,0.0,3.9972906,0.0,84.52954,HOU
ELP,2023-06-09,90.0,71.0,32.0,19.0,0.0,9.645637,0.0,80.42498,ELP
SAT,2023-06-10,96.0,76.0,75.0,64.9,0.0,9.12425,0.0,89.504196,SAT
ELP,2023-06-10,97.0,62.0,32.0,21.9,0.0,7.7338886,0.0,79.51851,ELP
HOU,2023-06-10,94.0,71.0,75.9,64.0,0.0001,8.689762,0.0,87.403175,HOU
DAL,2023-06-10,94.0,76.0,73.0,64.9,0.0,7.386298,0.0,86.96576,DAL
ELP,2023-06-11,100.0,67.0,36.0,21.0,0.0,11.035998,0.0,83.165924,ELP
DAL,2023-06-11,99.0,71.0,75.9,63.0,1.65,6.3435264,0.0,85.36753,DAL
SAT,2023-06-11,98.0,77.0,75.0,66.0,0.0,9.558739,0.0,90.14237,SAT
HOU,2023-06-11,94.0,73.0,75.0,66.9,0.0001,8.602865,0.0,89.1358,HOU
SAT,2023-06-12,97.0,77.0,75.2,69.1,0.0,9.471841,0.0,89.676605,SAT
HOU,2023-06-12,95.0,77.0,75.2,73.0,0.0,7.646991,0.0,90.01157,HOU
DAL,2023-06-12,87.0,72.0,69.1,63.0,0.0001,7.994581,0.0,78.38772,DAL
ELP,2023-06-12,96.0,77.0,37.9,10.9,0.0,14.077415,0.0,82.20511,ELP
DAL,2023-06-13,78.0,69.0,75.9,68.0,0.81,4.9531646,0.0,74.24404,DAL
SAT,2023-06-13,95.0,78.0,75.9,72.0,0.0,10.427715,0.0,90.92119,SAT
ELP,2023-06-13,95.0,63.0,23.0,10.0,0.0,9.558739,0.0,79.79867,ELP
HOU,2023-06-13,94.0,78.0,75.9,71.1,0.0,8.863558,0.0,90.33347,HOU
HOU,2023-06-14,95.0,79.0,78.1,73.9,0.0,12.773951,0.0,93.949745,HOU
ELP,2023-06-14,98.0,64.0,24.1,12.0,0.0,9.384943,0.0,81.03134,ELP
DAL,2023-06-14,91.0,75.0,79.0,73.4,0.0001,4.431779,0.0,87.46657,DAL
SAT,2023-06-14,93.0,80.0,77.0,72.0,0.0,7.0387077,0.0,92.235016,SAT
ELP,2023-06-15,99.0,75.0,25.0,14.0,0.0,13.382235,0.0,84.36903,ELP
DAL,2023-06-15,92.0,75.0,79.0,68.0,0.0,7.386298,0.0,93.26156,DAL
SAT,2023-06-15,99.0,80.0,78.1,73.0,0.0,8.342172,0.0,96.77229,SAT
HOU,2023-06-15,98.0,80.6,79.0,73.0,0.0,10.427715,0.0,98.93562,HOU
ELP,2023-06-16,101.0,78.0,28.9,19.0,0.0,11.296691,0.0,85.9364,ELP
HOU,2023-06-16,96.0,82.0,78.1,75.9,0.0,9.645637,0.0,99.47283,HOU
SAT,2023-06-16,101.0,80.0,78.8,69.1,0.0,8.4290695,0.0,99.06788,SAT
DAL,2023-06-16,97.0,72.0,77.0,64.0,0.0,9.037353,0.0,87.97421,DAL
ELP,2023-06-17,101.0,71.0,30.0,19.9,0.0,9.037353,0.0,84.551285,ELP
SAT,2023-06-17,96.0,80.0,79.0,73.9,0.0,7.4731956,0.0,96.31857,SAT
HOU,2023-06-17,98.0,81.0,81.0,75.9,0.0,7.5600934,0.0,99.824234,HOU
DAL,2023-06-17,96.0,76.0,78.1,68.0,0.0001,6.5173216,0.0,91.64472,DAL
DAL,2023-06-18,93.0,75.0,75.9,66.9,0.0,5.4745502,0.0,88.91958,DAL
ELP,2023-06-18,102.0,73.0,28.9,19.9,0.0,7.386298,0.0,85.30042,ELP
HOU,2023-06-18,100.0,81.0,79.0,68.0,0.0,11.904975,0.0,98.702065,HOU
SAT,2023-06-18,103.0,78.8,78.1,66.0,0.0,8.4290695,0.0,97.37426,SAT
ELP,2023-06-19,103.0,80.0,34.0,23.0,0.0,9.732533,0.0,88.21616,ELP
HOU,2023-06-19,99.0,81.0,80.1,73.9,0.0,10.167022,0.0,100.56435,HOU
DAL,2023-06-19,97.0,76.0,79.0,69.1,0.0,8.168377,0.0,96.44129,DAL
SAT,2023-06-19,105.0,78.0,75.9,64.0,0.0,7.2994003,0.0,95.76456,SAT
DAL,2023-06-20,98.0,81.0,79.0,75.9,0.0,8.342172,0.0,101.57894,DAL
HOU,2023-06-20,99.0,83.0,80.1,69.1,0.0,10.167022,0.0,100.37446,HOU
SAT,2023-06-20,105.0,78.0,77.0,68.0,0.0,6.8649125,0.0,97.1048,SAT
ELP,2023-06-20,102.0,77.0,37.9,33.1,0.0,6.430424,0.0,88.063995,ELP
HOU,2023-06-21,99.0,72.0,80.1,69.1,0.73,7.0387077,0.0,97.8583,HOU
SAT,2023-06-21,105.0,78.0,75.9,62.1,0.0001,6.95181,0.0,94.59885,SAT
DAL,2023-06-21,91.0,76.0,80.1,71.1,0.71,7.2994003,0.0,94.988945,DAL
ELP,2023-06-21,105.0,76.0,37.0,26.1,0.0,7.125605,0.0,87.81343,ELP
ELP,2023-06-22,107.0,77.0,41.0,27.0,0.0,9.298046,0.0,88.53113,ELP
SAT,2023-06-22,95.0,74.0,72.0,61.0,0.05,7.5600934,0.0,86.35089,SAT
DAL,2023-06-22,90.0,78.0,72.0,69.1,0.0001,7.386298,0.0,87.747215,DAL
HOU,2023-06-22,97.0,78.0,79.0,72.0,0.0,7.0387077,0.0,95.18476,HOU
SAT,2023-06-23,102.0,75.0,75.0,66.9,0.0,9.384943,0.0,92.54916,SAT
DAL,2023-06-23,91.0,78.0,78.1,64.0,0.0001,7.4731956,0.0,87.11137,DAL
ELP,2023-06-23,107.0,74.0,36.0,24.1,0.0,9.037353,0.0,88.802635,ELP
HOU,2023-06-23,98.0,82.0,82.0,73.9,0.42,6.6911173,0.0,100.71696,HOU
SAT,2023-06-24,102.0,77.0,75.0,64.9,0.0,9.732533,0.0,92.75405,SAT
ELP,2023-06-24,107.0,76.0,32.0,21.9,0.0,8.4290695,0.0,88.90144,ELP
